"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","-1.310","100","2000","Noraxon MR3 3.16.08","3.16.08","Project 1","MyoMetrics Demo Record","","","male","2020-06-25T14:32:49.422Z","EXGAVINE abduktion_statisc_gestreckt_"

time,Activity,Marker,Noraxon MyoMotion-Analogs-Noraxon MyoMotion.Sync (An),Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-x,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-y,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-z,Noraxon MyoMotion-Segmente-Oberer Thorax-Orientierung-w,Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberer Thorax-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberer Thorax-Rollen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Oberarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Oberarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Oberarm RT-Rollen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-x,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-y,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-z,Noraxon MyoMotion-Segmente-Unterarm RT-Orientierung-w,Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Sensor-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-x (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-y (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Beschleunigung-z (mG),Noraxon MyoMotion-Segmente-Unterarm RT-Scheren (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Neigen (Grad),Noraxon MyoMotion-Segmente-Unterarm RT-Rollen (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Total Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Rotation Ext (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Flexion (Grad),Noraxon MyoMotion-Gelenke-Schulter RT-Abduktion (Grad),Noraxon MyoMotion-Gelenke-Ellbogen RT-Flexion (Grad),Noraxon MyoMotion-Verlaufskurven-Body center of mass-x (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-y (mm),Noraxon MyoMotion-Verlaufskurven-Body center of mass-z (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-7th cervical vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-x (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-y (mm),Noraxon MyoMotion-Verlaufskurven-10th thoracic vertebrae-z (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-x (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-y (mm),Noraxon MyoMotion-Verlaufskurven-Jugular notch-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Acromion RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder LT-z (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Shoulder RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Medial humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Lateral humeral epicondyle RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Elbow RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Radial styloid process RT-z (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-x (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-y (mm),Noraxon MyoMotion-Verlaufskurven-Ulnar styloid process RT-z (mm)
-1.305,Aktivität,,0,0.2476246636,-0.6921838197,-0.6306406708,0.2487085241,898.9257813,-75.1953125,441.8945313,-0.02831860162,12.86538183,4.40387948,-41.20737487,-4.638737708,1.838636906,0.5313178834,-0.5202466202,-0.4957220563,0.4486695932,984.375,145.0195313,-128.4179688,-16.71544653,-2.456320884,3.110432655,-87.75091767,-6.079625629,-3.455500417,0.6987562899,-0.1688755585,-0.2210439096,0.6590601514,986.328125,-229.0039063,-119.6289063,-23.90428711,10.14785106,19.27554696,-147.8722037,-1.923128014,-4.954348913,9.120965976,-46.4994549,2.980359122,8.635696058,9.402464582,-0.2383255837,1.705526161,583.8178481,25.00553984,-24.62757555,901.9601919,48.58355241,-50.57823944,733.79195,-18.83436622,24.00543136,867.1657111,-86.03714061,-89.9038797,874.5720792,103.3786622,75.09335281,866.5346133,-91.48357902,-87.09012797,858.5570441,100.5629988,80.19873276,850.4079468,117.920256,89.95733425,667.577635,115.6977027,118.9613774,669.1339552,119.1880218,104.2561246,668.1766802,88.44561173,107.2309237,528.7091766,107.9247842,96.09594299,528.7012388
-1.295,,,0,0.2476348978,-0.6921726335,-0.6306404785,0.2487299534,899.4140625,-74.21875,443.359375,0.127668923,11.53912235,5.429483569,-41.21011038,-4.637540057,1.83928303,0.5310254116,-0.5203898417,-0.4958501418,0.4487082145,992.6757813,135.2539063,-127.4414063,-22.08617267,7.684979062,9.650077966,-87.72235241,-6.060995841,-3.436756673,0.6986684178,-0.1693054241,-0.2214673041,0.658900864,975.5859375,-242.1875,-131.3476563,-43.34421607,6.984409187,12.79188897,-147.7999948,-1.925716694,-4.956663902,9.093899898,-46.46770311,2.974525688,8.60896756,9.381456815,-0.2403355044,1.703208077,583.817461,25.0074882,-24.62743431,901.9597667,48.58378129,-50.57805933,733.7918317,-18.83546876,24.00380893,867.166665,-86.03274385,-89.90871086,874.573579,103.3751529,75.09745905,866.5332759,-91.47967,-87.09508096,858.5586884,100.558892,80.20284131,850.4067144,117.8587954,89.89107503,667.5623218,115.6522087,118.8961196,669.1226932,119.1344271,104.189085,668.1632928,88.3947609,107.21133,528.695745,107.8598997,96.05183572,528.686944
-1.285,,,0,0.2476451317,-0.6921614467,-0.6306402858,0.2487513826,896.484375,-69.82421875,442.3828125,-2.407539136,8.473129059,2.090125078,-41.21284588,-4.636342376,1.839929097,0.5307328744,-0.5205329985,-0.4959781658,0.4487467801,992.6757813,144.0429688,-131.3476563,-18.65924536,-0.3987899912,11.46303138,-87.69378205,-6.042375378,-3.418004272,0.6985802689,-0.1697352196,-0.2218906075,0.658741316,960.4492188,-233.8867188,-129.8828125,-39.21031446,3.800802454,-3.765414609,-147.7277862,-1.928302453,-4.958982126,9.066837956,-46.43595189,2.968709659,8.582236867,9.360457623,-0.2423462654,1.700890975,583.8170755,25.00943654,-24.62729302,901.9593415,48.58401017,-50.57787921,733.7917134,-18.8365712,24.00218638,867.167619,-86.02834684,-89.91354188,874.5750786,103.3716434,75.10156508,866.5319386,-91.47576071,-87.10003383,858.5603325,100.554785,80.20694962,850.4054823,117.7972932,89.82484405,667.5470469,115.6066753,118.8308808,669.1114697,119.0807914,104.1220689,668.1499439,88.34392819,107.1917558,528.682355,107.7950026,96.00776603,528.6726894
-1.275,,,0,0.2476553655,-0.6921502595,-0.6306400926,0.2487728117,894.53125,-67.87109375,446.7773438,-0.6089818267,3.562109402,2.192385722,-41.21558136,-4.635144664,1.840575105,0.5304402719,-0.5206760905,-0.4961061281,0.44878529,990.234375,138.671875,-131.8359375,-22.00567473,3.441990918,8.304826797,-87.66520657,-6.023764244,-3.399243213,0.6984918433,-0.1701649448,-0.2223138199,0.6585815074,970.2148438,-228.515625,-122.5585938,-28.87368744,7.086193799,3.829138267,-147.6555779,-1.930885289,-4.961303583,9.039780186,-46.40420123,2.962911032,8.555503983,9.339467,-0.244357866,1.698574853,583.8166914,25.01138486,-24.62715169,901.9589163,48.58423904,-50.5776991,733.7915951,-18.83767355,24.00056373,867.168573,-86.02394958,-89.91837276,874.5765782,103.3681337,75.10567091,866.5306015,-91.47185117,-87.10498658,858.5619766,100.5506777,80.2110577,850.4042503,117.7357496,89.75864136,667.5318105,115.5611027,118.7656611,669.1002846,119.0271146,104.0550764,668.1366336,88.29311362,107.1722014,528.6690065,107.7300929,95.9637339,528.658475
-1.265,,,0,0.2476725077,-0.6921340223,-0.6306427144,0.2487942742,888.1835938,-68.84765625,437.9882813,-2.954108242,8.182183766,-7.34288115,-41.21887173,-4.633536748,1.840496803,0.5301356719,-0.5208179066,-0.4962450201,0.448827091,1006.347656,143.5546875,-126.953125,-14.78270163,6.887798666,24.30204503,-87.63562911,-6.00355933,-3.380314213,0.698387925,-0.1706409837,-0.2227891931,0.6584078799,973.1445313,-217.2851563,-125.4882813,-20.50517715,-1.401692999,4.762658306,-147.575053,-1.93284312,-4.964187672,9.01092902,-46.3709088,2.957524788,8.526729201,9.317149135,-0.2466819111,1.696089114,583.8163275,25.01322884,-24.62768179,901.9583415,48.58450768,-50.57749685,733.7914355,-18.83923512,23.99827616,867.1698342,-86.01882697,-89.92468892,874.5765058,103.3636203,75.11042881,866.530853,-91.46717016,-87.11126378,858.5620613,100.5455889,80.21600836,850.4046633,117.6683688,89.6919407,667.5169047,115.5102481,118.6999584,669.0897413,118.9678705,103.9875521,668.123765,88.23530951,107.1560122,528.6565039,107.6565357,95.92027217,528.6448764
-1.255,,,0,0.2476979536,-0.6921121494,-0.6306485142,0.248815088,893.0664063,-73.2421875,440.9179688,0.3549911629,10.78409091,-1.388836166,-41.2227699,-4.631505011,1.839511456,0.5298314874,-0.5209512941,-0.4963886926,0.4488725989,995.1171875,134.765625,-128.4179688,-21.16709999,10.32603347,12.10498079,-87.60649283,-5.982420085,-3.361900435,0.6982695877,-0.1711536629,-0.2233089248,0.6582242253,972.1679688,-194.8242188,-135.2539063,-7.345351848,-21.62163745,0.4195147192,-147.48769,-1.933984441,-4.967693142,8.981112208,-46.33747959,2.952747021,8.496722436,9.294308528,-0.2492862947,1.693491865,583.8160036,25.01486028,-24.62900496,901.9576112,48.58481829,-50.57727165,733.7912333,-18.84134384,23.99522922,867.1714095,-86.01294886,-89.93268068,874.5744591,103.3579561,75.11588991,866.5330892,-91.46165511,-87.11902577,858.5601785,100.5394014,80.22188608,850.4071229,117.5970961,89.62735732,667.5030523,115.45528,118.6363329,669.0805041,118.904621,103.9221473,668.1120257,88.17162776,107.1447217,528.6456352,107.5757222,95.87942244,528.6326553
-1.245,,,0,0.2477330342,-0.6920843027,-0.6306575717,0.2488346621,894.0429688,-72.75390625,437.9882813,-1.843013613,12.81381074,-1.865687939,-41.22733355,-4.629071698,1.837463528,0.5295381095,-0.521071094,-0.4965303592,0.4489230536,987.7929688,130.3710938,-128.90625,-23.91414419,11.69998577,4.310517981,-87.57911156,-5.960994196,-3.344378829,0.6981386494,-0.1716936117,-0.2238646183,0.6580337093,973.6328125,-188.9648438,-122.5585938,4.509448415,-14.04144206,-0.7644534785,-147.3949881,-1.93424548,-4.971838789,8.950907368,-46.30517183,2.948572799,8.46609622,9.271651041,-0.252136324,1.690812604,583.8157305,25.01616761,-24.63119691,901.9567326,48.5851732,-50.57702148,733.7909907,-18.84409117,23.99134519,867.173278,-86.00628396,-89.94251851,874.5700935,103.3509883,75.12212686,866.5376453,-91.45524155,-87.1284258,858.5559754,100.5319929,80.22878408,850.4119654,117.5238174,89.56648321,667.4907984,115.3973926,118.5763274,669.0730914,118.8389113,103.8604861,668.1019453,88.10340735,107.1390462,528.6369766,107.4892765,95.84241474,528.6223799
-1.235,,,0,0.2477782139,-0.6920507407,-0.6306696233,0.2488524768,895.0195313,-75.68359375,451.171875,7.715545675,6.330184956,5.109162025,-41.23255736,-4.626304783,1.834292946,0.5292629792,-0.5211747113,-0.4966637472,0.4489796671,980.46875,119.140625,-128.4179688,-30.73545311,18.60022729,-4.653830863,-87.55446785,-5.939874206,-3.327858552,0.6979978056,-0.172251788,-0.2244470335,0.6578388207,976.5625,-194.8242188,-112.3046875,5.818779879,-2.295921303,2.099798422,-147.2984857,-1.933711751,-4.976586505,8.920714297,-46.27496618,2.944850465,8.435324629,9.249730964,-0.2551832221,1.688069515,583.8155098,25.01706121,-24.63424881,901.9557294,48.58557038,-50.57674668,733.7907147,-18.84751185,23.98662607,867.1753847,-85.99887934,-89.95419754,874.563272,103.3426832,75.12913992,866.5446479,-91.44795151,-87.13946219,858.5493057,100.523355,80.2366994,850.4193118,117.4503316,89.50991788,667.4804273,115.3378768,118.5205061,669.0677837,118.7722902,103.8031917,668.0938102,88.03229904,107.138921,528.6307917,107.3991445,95.80970895,528.6143297
-1.225,,,0,0.247832228,-0.6920126936,-0.6306839429,0.2488682035,906.7382813,-67.87109375,439.9414063,-8.764646464,11.45348058,10.01051269,-41.238313,-4.623328359,1.830121467,0.5290106968,-0.5212619865,-0.4967842505,0.4490423504,972.65625,118.1640625,-135.7421875,-36.33284713,13.13383555,-11.58900533,-87.53307869,-5.919597043,-3.3123405,0.6978505819,-0.1728193969,-0.2250461497,0.6576414311,976.5625,-202.1484375,-123.046875,-5.565828484,-7.28647359,4.785932173,-147.1997623,-1.932606855,-4.981850658,8.89097639,-46.24749939,2.941403005,8.404937485,9.228973558,-0.2583476045,1.685303777,583.8153352,25.01751311,-24.63801448,901.9546462,48.58599971,-50.57645262,733.7904177,-18.85152244,23.9812185,867.1776348,-85.99092481,-89.96738588,874.5542552,103.3332469,75.13677849,866.5538269,-91.43997072,-87.1518383,858.5404228,100.5137034,80.24543945,850.4288774,117.378469,89.457722,667.4719152,115.2782957,118.4689117,669.0645671,118.7064573,103.7503375,668.0876107,87.96037887,107.1439327,528.626986,107.3077084,95.78142809,528.6084477
-1.215,,,0,0.2478918601,-0.6919724017,-0.6306993461,0.248881811,899.4140625,-74.21875,442.3828125,-0.2671152626,11.81014897,4.996059943,-41.24433992,-4.620315981,1.825278246,0.5287837164,-0.5213346202,-0.4968896858,0.449108712,979.4921875,120.1171875,-136.2304688,-35.02575104,12.91217428,-4.511026057,-87.5149577,-5.900660864,-3.29789282,0.6977009092,-0.1733882145,-0.2256519263,0.6574429074,977.0507813,-213.8671875,-100.5859375,-3.04642391,17.92771838,5.06430146,-147.1003489,-1.931237068,-4.987521959,8.86236486,-46.2230428,2.938136516,8.375679159,9.209735936,-0.2615134667,1.682602873,583.8151966,25.01757732,-24.64220014,901.9535466,48.58644269,-50.5761501,733.7901173,-18.85590565,23.97542557,867.1798988,-85.9827567,-89.98139852,874.5437584,103.3231512,75.14472896,866.5644613,-91.4316585,-87.16493869,858.5300374,100.5034982,80.25460723,850.4399167,117.3101915,89.40997274,667.4649751,115.2205924,118.4216213,669.0631663,118.6433661,103.7020015,668.0830782,87.89013528,107.1538339,528.625171,107.2177569,95.75784211,528.6043927
-1.205,,,0,0.2479524987,-0.6919326848,-0.6307144109,0.248893652,892.578125,-77.1484375,432.6171875,-1.769987667,18.15115028,-5.277614384,-41.25029745,-4.61745369,1.820247622,0.5285829671,-0.5213954944,-0.4969805493,0.4491738181,986.8164063,125.4882813,-141.6015625,-35.15043575,7.324228835,4.149258535,-87.49965615,-5.883520199,-3.284751219,0.6975524337,-0.1739513015,-0.2262556038,0.6572442078,973.1445313,-221.1914063,-118.6523438,-19.27535991,6.713379884,4.787383783,-147.001561,-1.929909496,-4.993498217,8.835804397,-46.20149503,2.935079256,8.348522378,9.19235455,-0.264538435,1.68009734,583.8150854,25.01739025,-24.64641565,901.9524992,48.58687629,-50.57585299,733.789832,-18.86034882,23.96965014,867.1820408,-85.97478643,-89.99532849,874.5328385,103.3130451,75.15257927,866.5754936,-91.42347477,-87.17794826,858.5192068,100.4933544,80.26368045,850.4513431,117.247524,89.36712302,667.4591726,115.1669949,118.3791043,669.0631468,118.5851427,103.6586275,668.0797907,87.82422649,107.168861,528.6248067,107.1322087,95.73963071,528.6016698
-1.195,,,0,0.2480091329,-0.6918963237,-0.6307277462,0.2489045145,892.578125,-74.70703125,439.9414063,0.7335439272,11.57809316,-2.156976097,-41.25584984,-4.614898138,1.815575584,0.5284081079,-0.5214481108,-0.4970598721,0.449230701,972.65625,124.5117188,-130.859375,-27.28036915,12.66852121,-11.17098808,-87.48634834,-5.868549918,-3.273322582,0.6974078855,-0.1745037873,-0.2268510826,0.6570458551,968.75,-224.609375,-108.3984375,-17.47108192,17.17517866,0.03796409188,-146.904317,-1.92886355,-4.99971964,8.812358911,-46.18238213,2.932367428,8.324551466,9.177155025,-0.2672760572,1.677938755,583.8149978,25.01715311,-24.65025006,901.9515627,48.58727894,-50.57557437,733.7895775,-18.86451419,23.96430479,867.1839492,-85.96739224,-90.00825749,874.5226904,103.3036023,75.15992741,866.5857341,-91.41586459,-87.19004582,858.5091314,100.4838937,80.27214165,850.4619397,117.1923209,89.33007919,667.4540449,115.1197414,118.3422964,669.064032,118.5338313,103.6211046,668.0772882,87.76507534,107.1898181,528.6253513,107.0536712,95.72790576,528.5997646
-1.185,,,0,0.2480571963,-0.6918656849,-0.6307380963,0.2489155587,900.8789063,-65.4296875,436.5234375,-10.82280488,9.730133973,3.097577809,-41.2607298,-4.612765064,1.811789668,0.5282574711,-0.5214962366,-0.4971327871,0.4492713116,975.5859375,132.8125,-119.140625,-12.61409182,15.36362057,-8.432345233,-87.47393314,-5.855996054,-3.264115867,0.6972687133,-0.1750434243,-0.2274359182,0.6568478089,962.890625,-222.65625,-107.9101563,-16.9390364,16.60975107,-6.110696096,-146.8090081,-1.928236197,-5.006199555,8.793071684,-46.16489217,2.930221651,8.304800207,9.164430595,-0.2695993963,1.676276984,583.8149343,25.01709829,-24.65332033,901.9507812,48.58763458,-50.57532341,733.7893654,-18.86810011,23.95974669,867.1855443,-85.96084794,-90.01941083,874.5144705,103.2953982,75.16646615,866.5940354,-91.40917562,-87.20054848,858.5009769,100.4756295,80.27957679,850.4705357,117.1459972,89.30004492,667.4491619,115.080766,118.3124402,669.0653718,118.4911032,103.5906131,668.0751353,87.71447875,107.2179642,528.6263478,106.9840226,95.72405686,528.598217
-1.175,,,0,0.248092784,-0.6918427173,-0.6307443013,0.2489282055,888.1835938,-79.1015625,438.4765625,4.696466332,14.37076597,-6.440603915,-41.26474709,-4.611141359,1.809375452,0.5281276351,-0.5215438177,-0.4972060257,0.4492876753,978.515625,129.8828125,-123.046875,-17.17271614,16.01014647,-5.539503133,-87.46111771,-5.845913587,-3.257621471,0.6971349911,-0.1755706724,-0.2280114984,0.6566494497,970.2148438,-219.7265625,-110.8398438,-14.4621641,12.57857075,0.7570642423,-146.7154751,-1.92805249,-5.013029761,8.778817151,-46.1479459,2.928922927,8.290102206,9.154382289,-0.2714157522,1.675244813,583.8148965,25.0174667,-24.65527632,901.9501881,48.5879329,-50.57510505,733.7892045,-18.87085706,23.95626839,867.186768,-85.95532124,-90.02817931,874.5092447,103.2888846,75.17199599,866.599342,-91.40364987,-87.20893274,858.495819,100.4689478,80.28568944,850.4760566,117.109282,89.27817159,667.4440904,115.051419,118.2907326,669.066711,118.4579931,103.568276,668.0728865,87.6733253,107.2546712,528.6273921,106.9241234,95.72940151,528.5965874
-1.165,,,0,0.2481122824,-0.6918291611,-0.630745243,0.2489440613,901.3671875,-75.68359375,441.40625,-0.6755628125,13.78205564,6.399467985,-41.2677516,-4.610097251,1.808804916,0.5280125372,-0.5215951898,-0.4972874809,0.4492731685,982.421875,127.4414063,-129.8828125,-23.61502988,14.37419091,-1.251127416,-87.44646354,-5.838083978,-3.254145509,0.6970055039,-0.1760882705,-0.2285821413,0.6564498863,969.7265625,-212.4023438,-102.0507813,-3.942338687,16.01432797,-2.189034502,-146.6231223,-1.928223862,-5.020336293,8.770152593,-46.13027544,2.928770885,8.280947367,9.147005424,-0.2726713023,1.674944958,583.8148818,25.01851071,-24.65578065,901.9498108,48.58816667,-50.57492189,733.7891019,-18.87255951,23.95413115,867.1875748,-85.95092179,-90.03403612,874.5080498,103.2844527,75.17637423,866.6006288,-91.3994735,-87.21475545,858.494706,100.46417,80.29024393,850.4774598,117.0819699,89.26503023,667.4382811,115.0322044,118.277797,669.0674576,118.4346448,103.5546326,668.0699663,87.64142444,107.3007785,528.6279886,106.8736666,95.74457899,528.5943295
-1.155,,,0,0.248111826,-0.6918267938,-0.6307398284,0.2489648128,901.8554688,-72.75390625,444.8242188,-0.8499607981,9.593526311,8.172725675,-41.26957934,-4.609694646,1.81057503,0.5279024166,-0.5216554307,-0.497385753,0.449223845,991.2109375,147.4609375,-128.4179688,-9.173363816,2.717401477,10.26901889,-87.42841975,-5.831929271,-3.253623081,0.6968779502,-0.1766004285,-0.2291533688,0.6562485388,984.375,-200.6835938,-119.6289063,-0.3681755318,-5.467289296,11.70603133,-146.5311337,-1.928549187,-5.028195209,8.767157994,-46.11050697,2.930025716,8.277331584,9.141945922,-0.2733515809,1.675435015,583.8148795,25.02050277,-24.65448832,901.9496738,48.58832804,-50.57477722,733.7890638,-18.87296309,23.95360982,867.1879266,-85.94776874,-90.03642058,874.5119783,103.2825259,75.17943752,866.5968172,-91.39684825,-87.21754088,858.4987436,100.4616449,80.29298191,850.4736496,117.0626818,89.25999973,667.430943,115.0225341,118.2730729,669.0667219,118.4200682,103.5490268,668.0655288,87.61742587,107.3557614,528.6273637,106.8311393,95.76879091,528.5906367
-1.145,,,0,0.2480980585,-0.6918271927,-0.630725622,0.2490134103,896.9726563,-78.125,435.546875,-0.6288334532,18.08501445,0.01853924235,-41.27281872,-4.608972719,1.815855951,0.5275037879,-0.5218847187,-0.4975341512,0.4492614634,988.28125,149.9023438,-127.9296875,-6.921028327,1.056017737,7.714012456,-87.38807683,-5.811029543,-3.225510751,0.6966505596,-0.1775815677,-0.2301991093,0.6558590967,982.9101563,-160.6445313,-115.7226563,33.9170618,-24.2122207,1.785493575,-146.3589205,-1.932060727,-5.039910781,8.734561327,-46.06634101,2.918430564,8.246693661,9.119579867,-0.2753609471,1.673292473,583.8143706,25.02557069,-24.65075931,901.9494385,48.58863701,-50.57449035,733.788996,-18.87297243,23.95340482,867.188602,-85.94161053,-90.03954613,874.5236708,103.2799534,75.18520355,866.5854231,-91.3920673,-87.22175294,858.5107136,100.4575739,80.29778493,850.4622124,116.993911,89.16230733,667.4022788,114.9768593,118.176307,669.0502233,118.3626376,103.4500062,668.0423879,87.55291868,107.3726835,528.6087653,106.7317934,95.72815357,528.5675141
-1.135,,,0,0.2480653238,-0.6918376744,-0.6307067202,0.2490647718,896.484375,-82.03125,424.3164063,-4.332506026,28.20603751,-5.191766194,-41.27476381,-4.608772835,1.823156923,0.52709203,-0.5221338619,-0.4976959546,0.4492760387,985.3515625,147.9492188,-146.484375,-21.89864279,-9.867375473,6.820455451,-87.34369295,-5.790973225,-3.197811018,0.6964294053,-0.1785262319,-0.2312087253,0.6554822602,988.7695313,-167.96875,-117.1875,28.77947789,-21.83941036,9.111678096,-146.1927997,-1.935307418,-5.05142215,8.704616408,-46.01947097,2.906834265,8.218875307,9.098720691,-0.2769013882,1.671517273,583.8138399,25.03140831,-24.64556384,901.9494,48.58886316,-50.57425617,733.7889803,-18.87168534,23.95473812,867.1889104,-85.9369029,-90.03920694,874.5397879,103.279966,75.18938337,866.5696316,-91.38899189,-87.22284265,858.527135,100.4558891,80.30058919,850.446282,116.9300679,89.06427668,667.3717739,114.9380997,118.0793562,669.0311765,118.311113,103.3505566,668.017073,87.49433695,107.3851541,528.5879784,106.639443,95.68520348,528.5422785
-1.125,,,0,0.2480045125,-0.691861967,-0.6306828519,0.2491182866,892.0898438,-85.44921875,433.1054688,5.102305876,23.60783237,-4.950834334,-41.27460857,-4.609169124,1.833204964,0.5266482951,-0.5223987201,-0.497873267,0.4492920659,976.5625,138.1835938,-147.9492188,-29.28617388,-5.303236137,-3.118768848,-87.29590417,-5.768982651,-3.168291193,0.6962121188,-0.1794372046,-0.2321780358,0.6551216184,979.0039063,-188.4765625,-130.859375,2.939887532,-21.80184827,5.292134438,-146.0329329,-1.938001031,-5.062042124,8.674888642,-45.97131294,2.895792914,8.191096993,9.076143993,-0.2781654331,1.669996361,583.8132169,25.03828429,-24.63853272,901.9495891,48.58895292,-50.57411831,733.7890235,-18.86840092,23.95831787,867.1888106,-85.93460015,-90.03361318,874.5619303,103.2840314,75.19083484,866.5478671,-91.38867241,-87.21908696,858.5496296,100.4579957,80.30014506,850.4242599,116.8628494,88.9588914,667.3370103,114.8977667,117.9752055,669.0068489,118.2571008,103.2436746,667.9870287,87.43428976,107.3846061,528.5620799,106.5467436,95.63140885,528.5122709
