       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    3787.8940000,       00.0989376,      -00.0273612,       02.9133990,       00.1047741,       00.1542760,       02.8836420,       00.1097529,       00.3008537,       02.8708440,       00.1190279,       00.5245892,       02.8795450,       00.1522078,       00.4864035,       02.8803450,       00.2882220,       00.4292025,       02.8793860,       00.3293871,       00.1579692,       02.9574920,       00.3364250,      -00.0776344,       02.9155820,       00.3454828,      -00.1754686,       02.9306010,       00.2854735,      -00.2503701,       02.8737810,       00.2755730,      -00.1949399,       02.8591300,       00.0828220,       00.4887525,       02.8780380,      -00.0447765,       00.4486296,       02.8548950,      -00.1167398,       00.1780255,       02.9327730,      -00.1302011,      -00.0556044,       02.8694400,      -00.1146135,      -00.1245062,       02.9498310,      -00.1066860,      -00.2090168,       02.8804480,      -00.0794540,      -00.1664659,       02.8584350,       00.1929677,      -00.0307520,       02.9111440,       00.2145448,      -00.4311468,       03.0110180,       00.2306146,      -00.8067723,       03.1318780,       00.2423980,      -00.8893051,       02.9574010,       00.0141466,      -00.0243035,       02.9154320,       00.0020761,      -00.4263322,       03.0082570,      -00.0025789,      -00.8075517,       03.1261900,      -00.0298157,      -00.8870247,       02.9693620,       00.1229475,       00.6081468,       02.8689530,       00.1019132,       00.6544355,       02.7110740,       00.1367927,       00.6870002,       02.7436450,       00.2118814,       00.6663104,       02.8487940,       00.0829990,       00.6883144,       02.7477670,       00.0437614,       00.6826277,       02.8770650
    3787.9530000,       00.0987335,      -00.0268951,       02.9151280,       00.1048590,       00.1547346,       02.8854560,       00.1098938,       00.3014580,       02.8746040,       00.1189162,       00.5252762,       02.8806790,       00.1521137,       00.4871344,       02.8822560,       00.2879041,       00.4294280,       02.8813000,       00.3298565,       00.1577341,       02.9572910,       00.3359607,      -00.0773537,       02.9125230,       00.3392832,      -00.1750593,       02.9304250,       00.2850555,      -00.2482991,       02.8661320,       00.2696720,      -00.1861257,       02.8528590,       00.0827556,       00.4893948,       02.8792630,      -00.0444664,       00.4500157,       02.8530260,      -00.1172862,       00.1798684,       02.9316230,      -00.1309369,      -00.0553836,       02.8747200,      -00.1193000,      -00.1218654,       02.9577650,      -00.1079583,      -00.2087574,       02.8918980,      -00.0801235,      -00.1665104,       02.8669250,       00.1927868,      -00.0301683,       02.9145080,       00.2146457,      -00.4311109,       03.0119870,       00.2305625,      -00.8074554,       03.1305260,       00.2423825,      -00.8889455,       02.9555760,       00.0139216,      -00.0239434,       02.9156870,       00.0026135,      -00.4264246,       03.0065090,      -00.0008361,      -00.8079692,       03.1233430,      -00.0301188,      -00.8872089,       02.9667790,       00.1228730,       00.6086974,       02.8691120,       00.0973093,       00.6578116,       02.7127740,       00.1325209,       00.6902194,       02.7451370,       00.2104563,       00.6685272,       02.8479770,       00.0788355,       00.6906732,       02.7505950,       00.0428837,       00.6818447,       02.8806610
    3788.0290000,       00.0987989,      -00.0261822,       02.9177030,       00.1048620,       00.1548859,       02.8857040,       00.1098028,       00.3010406,       02.8700080,       00.1187638,       00.5245489,       02.8793090,       00.1519437,       00.4864321,       02.8802930,       00.2879430,       00.4295545,       02.8801380,       00.3296303,       00.1588441,       02.9587780,       00.3366425,      -00.0762373,       02.9152770,       00.3436003,      -00.1742743,       02.9294360,       00.2872041,      -00.2544612,       02.8764690,       00.2728780,      -00.1903919,       02.8571340,       00.0826438,       00.4887136,       02.8774180,      -00.0448667,       00.4496814,       02.8527410,      -00.1171565,       00.1796812,       02.9313670,      -00.1312825,      -00.0549541,       02.8729800,      -00.1126039,      -00.1241829,       02.9522870,      -00.0975547,      -00.2097346,       02.8855770,      -00.0782039,      -00.1675367,       02.8600600,       00.1927703,      -00.0294055,       02.9172700,       00.2144005,      -00.4306315,       03.0120230,       00.2302547,      -00.8072060,       03.1286440,       00.2424528,      -00.8893336,       02.9542100,       00.0140607,      -00.0232757,       02.9180930,       00.0026061,      -00.4260043,       03.0060720,      -00.0010545,      -00.8081287,       03.1197370,      -00.0298562,      -00.8900140,       02.9646330,       00.1226807,       00.6080551,       02.8689580,       00.0964890,       00.6568962,       02.7127960,       00.1334418,       00.6881141,       02.7442830,       00.2120954,       00.6641852,       02.8459250,       00.0799616,       00.6907156,       02.7506060,       00.0458880,       00.6843051,       02.8811920
    3788.0860000,       00.0986917,      -00.0265847,       02.9167390,       00.1051975,       00.1549000,       02.8860470,       00.1107367,       00.3014140,       02.8725310,       00.1189160,       00.5252141,       02.8814750,       00.1522759,       00.4871792,       02.8824020,       00.2888392,       00.4312394,       02.8821670,       00.3295088,       00.1596586,       02.9594670,       00.3366671,      -00.0752911,       02.9138760,       00.3375735,      -00.1722005,       02.9360040,       00.2876340,      -00.2525170,       02.8768550,       00.2736157,      -00.1868865,       02.8545560,       00.0828821,       00.4892038,       02.8797620,      -00.0446100,       00.4492851,       02.8555900,      -00.1168995,       00.1783905,       02.9322990,      -00.1314160,      -00.0553467,       02.8694670,      -00.1208565,      -00.1232205,       02.9515520,      -00.1026094,      -00.2089538,       02.8856810,      -00.0783907,      -00.1676537,       02.8632860,       00.1927169,      -00.0303605,       02.9143440,       00.2145703,      -00.4311438,       03.0128310,       00.2307741,      -00.8068784,       03.1335140,       00.2425692,      -00.8896779,       02.9591340,       00.0139051,      -00.0231800,       02.9189000,       00.0020470,      -00.4261104,       03.0080260,      -00.0018728,      -00.8080922,       03.1236870,      -00.0305229,      -00.8855597,       02.9660810,       00.1224935,       00.6088105,       02.8709740,       00.0961068,       00.6616033,       02.7159410,       00.1314155,       00.6933048,       02.7489130,       00.2098843,       00.6693122,       02.8508670,       00.0777444,       00.6935229,       02.7546280,       00.0424069,       00.6815187,       02.8846370
    3788.1420000,       00.0984934,      -00.0262607,       02.9170690,       00.1049131,       00.1551602,       02.8854060,       00.1102879,       00.3019013,       02.8735290,       00.1197767,       00.5258324,       02.8807380,       00.1529228,       00.4875877,       02.8820890,       00.2885327,       00.4291889,       02.8807900,       00.3304797,       00.1579020,       02.9589970,       00.3349389,      -00.0773688,       02.9140500,       00.3381423,      -00.1761641,       02.9250820,       00.2804408,      -00.2535753,       02.8690940,       00.2729668,      -00.1944346,       02.8572600,       00.0835154,       00.4900053,       02.8791740,      -00.0435383,       00.4502369,       02.8522010,      -00.1173938,       00.1803859,       02.9316370,      -00.1311023,      -00.0544997,       02.8725140,      -00.1203431,      -00.1223676,       02.9546540,      -00.1027699,      -00.2027725,       02.8821180,      -00.0782090,      -00.1674753,       02.8663060,       00.1926000,      -00.0298087,       02.9158210,       00.2143940,      -00.4309383,       03.0138380,       00.2306077,      -00.8072988,       03.1332550,       00.2405293,      -00.8889582,       02.9581070,       00.0136333,      -00.0230614,       02.9181950,       00.0022664,      -00.4260220,       03.0082670,      -00.0007950,      -00.8080420,       03.1245630,      -00.0299775,      -00.8892354,       02.9688340,       00.1238942,       00.6093647,       02.8695830,       00.0914038,       00.6566830,       02.7138490,       00.1292586,       00.6885678,       02.7437280,       00.2119915,       00.6662178,       02.8427320,       00.0759400,       00.6907285,       02.7520270,       00.0467506,       00.6851223,       02.8840540
    3788.1960000,       00.0985499,      -00.0263743,       02.9159060,       00.1051291,       00.1548601,       02.8850880,       00.1102736,       00.3012978,       02.8725670,       00.1192252,       00.5248030,       02.8813470,       00.1523974,       00.4866913,       02.8824920,       00.2886911,       00.4305965,       02.8806130,       00.3304639,       00.1593254,       02.9571340,       00.3372487,      -00.0752831,       02.9112520,       00.3375332,      -00.1708596,       02.9381410,       00.2827139,      -00.2403461,       02.8704680,       00.2729141,      -00.1901717,       02.8613320,       00.0831114,       00.4889687,       02.8794670,      -00.0446607,       00.4508194,       02.8548430,      -00.1162283,       00.1801357,       02.9316410,      -00.1307676,      -00.0545656,       02.8737330,      -00.1143362,      -00.1220737,       02.9549810,      -00.1024243,      -00.2028543,       02.8820030,      -00.0782671,      -00.1667359,       02.8642530,       00.1925042,      -00.0295636,       02.9172080,       00.2145249,      -00.4303014,       03.0137240,       00.2301471,      -00.8064618,       03.1315590,       00.2430599,      -00.8903461,       02.9580390,       00.0138272,      -00.0234983,       02.9147320,       00.0021475,      -00.4254660,       03.0058920,      -00.0028381,      -00.8063371,       03.1234910,      -00.0277486,      -00.8852970,       02.9662340,       00.1231675,       00.6082748,       02.8708040,       00.0961998,       00.6624799,       02.7165750,       00.1322918,       00.6933395,       02.7493750,       00.2112329,       00.6674093,       02.8502810,       00.0787534,       00.6943911,       02.7556020,       00.0445100,       00.6820930,       02.8857060
    3788.2530000,       00.0985661,      -00.0267715,       02.9156940,       00.1047493,       00.1545775,       02.8838840,       00.1099834,       00.3013949,       02.8735160,       00.1193988,       00.5253355,       02.8779670,       00.1525489,       00.4871323,       02.8797660,       00.2881870,       00.4289373,       02.8820240,       00.3309503,       00.1584546,       02.9622450,       00.3358818,      -00.0760170,       02.9136890,       00.3407581,      -00.1731180,       02.9345290,       00.2805781,      -00.2445669,       02.8735150,       00.2751586,      -00.1964057,       02.8651300,       00.0831591,       00.4894904,       02.8768670,      -00.0446387,       00.4494737,       02.8543420,      -00.1167719,       00.1790984,       02.9332670,      -00.1318105,      -00.0555689,       02.8738920,      -00.1151029,      -00.1228784,       02.9554520,      -00.1019587,      -00.2043275,       02.8831940,      -00.0781443,      -00.1676258,       02.8662280,       00.1926467,      -00.0302240,       02.9142990,       00.2141370,      -00.4312394,       03.0123410,       00.2300017,      -00.8078421,       03.1306550,       00.2472005,      -00.8881189,       02.9554940,       00.0137295,      -00.0236582,       02.9169520,       00.0019527,      -00.4262409,       03.0081030,      -00.0024412,      -00.8076647,       03.1259030,      -00.0301745,      -00.8879643,       02.9695070,       00.1234799,       00.6087016,       02.8657880,       00.1008876,       00.6601958,       02.7096800,       00.1347040,       00.6926506,       02.7434970,       00.2104888,       00.6704857,       02.8479070,       00.0808767,       00.6920468,       02.7476170,       00.0418679,       00.6802201,       02.8766220
    3788.3090000,       00.0990066,      -00.0268940,       02.9179880,       00.1051847,       00.1543218,       02.8857230,       00.1103723,       00.3009679,       02.8736400,       00.1197366,       00.5248059,       02.8798250,       00.1528915,       00.4866100,       02.8812470,       00.2889209,       00.4294304,       02.8793460,       00.3305554,       00.1581414,       02.9571140,       00.3363563,      -00.0762751,       02.9087220,       00.3386582,      -00.1711900,       02.9381660,       00.2829265,      -00.2410590,       02.8714230,       00.2737675,      -00.1938676,       02.8615540,       00.0835141,       00.4889706,       02.8785280,      -00.0438755,       00.4495859,       02.8530080,      -00.1177662,       00.1807951,       02.9353420,      -00.1309671,      -00.0526893,       02.8713280,      -00.1189779,      -00.1194818,       02.9540950,      -00.1026165,      -00.2016844,       02.8834100,      -00.0788740,      -00.1662135,       02.8653510,       00.1930633,      -00.0303252,       02.9167270,       00.2146040,      -00.4315959,       03.0132100,       00.2302284,      -00.8082061,       03.1311590,       00.2423459,      -00.8885269,       02.9556530,       00.0141916,      -00.0238000,       02.9191250,       00.0020463,      -00.4265772,       03.0088280,      -00.0023038,      -00.8082721,       03.1253640,      -00.0302851,      -00.8882338,       02.9688950,       00.1237664,       00.6082426,       02.8682940,       00.1019165,       00.6569937,       02.7112520,       00.1356385,       00.6899759,       02.7446230,       00.2109302,       00.6695406,       02.8496940,       00.0818088,       00.6895338,       02.7485260,       00.0422563,       00.6800554,       02.8775200
    3788.3660000,       00.0989050,      -00.0261088,       02.9179670,       00.1059071,       00.1552102,       02.8861740,       00.1117074,       00.3016709,       02.8718510,       00.1197903,       00.5255922,       02.8789280,       00.1531997,       00.4875837,       02.8797810,       00.2894273,       00.4307441,       02.8797360,       00.3300729,       00.1587801,       02.9559320,       00.3365250,      -00.0768383,       02.9135130,       00.3404931,      -00.1735809,       02.9361290,       00.2803552,      -00.2438743,       02.8737490,       00.2746888,      -00.1938519,       02.8587410,       00.0837632,       00.4895324,       02.8779050,      -00.0434287,       00.4458698,       02.8590330,      -00.1116535,       00.1722151,       02.9296780,      -00.1268752,      -00.0628364,       02.8719070,      -00.1165347,      -00.1309886,       02.9538210,      -00.1017416,      -00.2231231,       02.8962010,      -00.0789332,      -00.1783648,       02.8691600,       00.1929716,      -00.0299511,       02.9167710,       00.2149315,      -00.4314629,       03.0126240,       00.2321657,      -00.8081258,       03.1305310,       00.2424824,      -00.8892730,       02.9552350,       00.0140809,      -00.0226440,       02.9190450,       00.0021711,      -00.4258997,       03.0071200,      -00.0013828,      -00.8079364,       03.1229230,      -00.0287983,      -00.8896140,       02.9671890,       00.1231762,       00.6091241,       02.8677200,       00.0886365,       00.6663572,       02.7158570,       00.1273185,       00.6959313,       02.7469930,       00.2114076,       00.6666439,       02.8429440,       00.0741884,       00.6980997,       02.7563260,       00.0471442,       00.6845720,       02.8881930
    3788.4310000,       00.0995030,      -00.0265059,       02.9179910,       00.1055732,       00.1550959,       02.8871700,       00.1106661,       00.3017021,       02.8734180,       00.1182776,       00.5257254,       02.8808670,       00.1517639,       00.4877610,       02.8819460,       00.2876744,       00.4300121,       02.8809010,       00.3305711,       00.1584617,       02.9578000,       00.3369072,      -00.0768592,       02.9131800,       00.3381166,      -00.1737756,       02.9355570,       00.2821252,      -00.2402970,       02.8655590,       00.2743189,      -00.1932968,       02.8620290,       00.0823115,       00.4895850,       02.8794970,      -00.0439837,       00.4446373,       02.8574590,      -00.1158328,       00.1730566,       02.9328750,      -00.1269845,      -00.0620004,       02.8737700,      -00.1267040,      -00.1345410,       02.9525690,      -00.1031181,      -00.2179298,       02.8852770,      -00.0787681,      -00.1782068,       02.8634110,       00.1936204,      -00.0299281,       02.9163630,       00.2148780,      -00.4315579,       03.0126560,       00.2306614,      -00.8082067,       03.1313860,       00.2425131,      -00.8894057,       02.9561180,       00.0146331,      -00.0234200,       02.9194580,       00.0027623,      -00.4261859,       03.0105710,      -00.0015688,      -00.8079084,       03.1279730,      -00.0300902,      -00.8891105,       02.9721000,       00.1216026,       00.6093152,       02.8697970,       00.0966476,       00.6540383,       02.7118980,       00.1312747,       00.6877186,       02.7436770,       00.2087369,       00.6696231,       02.8477080,       00.0775014,       00.6876987,       02.7487340,       00.0406365,       00.6818793,       02.8788360
    3788.4910000,       00.0987414,      -00.0284484,       02.9175300,       00.1051886,       00.1529377,       02.8848470,       00.1104001,       00.2997524,       02.8723870,       00.1177565,       00.5239552,       02.8790970,       00.1513247,       00.4860155,       02.8800540,       00.2874488,       00.4286150,       02.8766210,       00.3314584,       00.1592403,       02.9608870,       00.3359487,      -00.0754280,       02.9119680,       00.3391403,      -00.1733424,       02.9295910,       00.2809052,      -00.2412207,       02.8626780,       00.2727539,      -00.1899468,       02.8555120,       00.0818085,       00.4877375,       02.8780930,      -00.0447130,       00.4422147,       02.8580760,      -00.1230668,       00.1720688,       02.9329030,      -00.1431775,      -00.0627283,       02.8744830,      -00.1511225,      -00.1445540,       02.9432430,      -00.1028332,      -00.2274783,       02.8898980,      -00.0905309,      -00.1838566,       02.8473560,       00.1929378,      -00.0317882,       02.9175760,       00.2140678,      -00.4342403,       03.0116050,       00.2298536,      -00.8117302,       03.1285140,       00.2424372,      -00.8885933,       02.9512130,       00.0138004,      -00.0254367,       02.9174890,       00.0020369,      -00.4281081,       03.0102500,      -00.0024617,      -00.8095157,       03.1295470,      -00.0276984,      -00.8859991,       02.9706170,       00.1208879,       00.6075698,       02.8677380,       00.0918939,       00.6547639,       02.7111390,       00.1287857,       00.6869396,       02.7419830,       00.2092659,       00.6651380,       02.8430800,       00.0752210,       00.6886994,       02.7489640,       00.0427840,       00.6828008,       02.8803270
    3788.5470000,       00.1003832,      -00.0287249,       02.9161430,       00.1064447,       00.1529688,       02.8846550,       00.1114790,       00.2997166,       02.8706530,       00.1182808,       00.5239620,       02.8795190,       00.1519770,       00.4860944,       02.8797740,       00.2885245,       00.4295160,       02.8767060,       00.3306407,       00.1588658,       02.9582390,       00.3354898,      -00.0763895,       02.9117090,       00.3395758,      -00.1730939,       02.9351260,       00.2813161,      -00.2406504,       02.8678270,       00.2710051,      -00.1925503,       02.8631650,       00.0824095,       00.4876366,       02.8785060,      -00.0447420,       00.4429110,       02.8603610,      -00.1233931,       00.1728418,       02.9356550,      -00.1509796,      -00.0608241,       02.8753330,      -00.1570169,      -00.1421016,       02.9450060,      -00.1052765,      -00.2236812,       02.8927350,      -00.0951072,      -00.1822232,       02.8636980,       00.1946145,      -00.0320666,       02.9150010,       00.2138904,      -00.4343239,       03.0110500,       00.2278630,      -00.8117177,       03.1290890,       00.2425978,      -00.8892912,       02.9521690,       00.0154106,      -00.0257116,       02.9171730,       00.0032902,      -00.4284635,       03.0103560,      -00.0012041,      -00.8100637,       03.1296330,      -00.0281174,      -00.8887945,       02.9719920,       00.1210700,       00.6077307,       02.8689560,       00.0951345,       00.6552261,       02.7118350,       00.1328860,       00.6862312,       02.7428850,       00.2116850,       00.6620480,       02.8448370,       00.0793340,       00.6899178,       02.7493800,       00.0455373,       00.6857684,       02.8805300
    3788.6010000,       00.1045543,      -00.0271101,       02.9170270,       00.1093922,       00.1540294,       02.8851820,       00.1134375,       00.3003705,       02.8709860,       00.1211575,       00.5239443,       02.8800340,       00.1545998,       00.4860427,       02.8802550,       00.2904534,       00.4288860,       02.8771720,       00.3314651,       00.1586037,       02.9576580,       00.3371211,      -00.0766696,       02.9149530,       00.3387461,      -00.1738723,       02.9351990,       00.2815571,      -00.2411578,       02.8672360,       00.2733072,      -00.1899456,       02.8585010,       00.0852359,       00.4878728,       02.8789880,      -00.0431500,       00.4496887,       02.8577300,      -00.1657637,       00.1961890,       02.9285700,      -00.2273354,      -00.0303053,       02.8687690,      -00.2744478,      -00.1262108,       02.8649510,      -00.3038873,      -00.2316357,       02.8688980,      -00.2509543,      -00.1566350,       02.8698550,       00.1985401,      -00.0298162,       02.9159130,       00.2163695,      -00.4303621,       03.0143340,       00.2297382,      -00.8060312,       03.1341930,       00.2403227,      -00.8850569,       02.9582190,       00.0198032,      -00.0246699,       02.9180320,       00.0046791,      -00.4268454,       03.0080380,      -00.0017627,      -00.8078827,       03.1252280,      -00.0302846,      -00.8877032,       02.9689930,       00.1242900,       00.6074739,       02.8695790,       00.0960809,       00.6551833,       02.7134120,       00.1327860,       00.6871262,       02.7444620,       00.2126208,       00.6649072,       02.8455760,       00.0793213,       00.6889107,       02.7512040,       00.0463958,       00.6825582,       02.8820930
    3788.6560000,       00.1042350,      -00.0290470,       02.9173930,       00.1093682,       00.1517981,       02.8840700,       00.1134622,       00.2982667,       02.8714530,       00.1201952,       00.5218821,       02.8796240,       00.1538081,       00.4841390,       02.8798420,       00.2906474,       00.4294632,       02.8761690,       00.3307662,       00.1595985,       02.9583800,       00.3373921,      -00.0736815,       02.9060970,       00.3380798,      -00.1690179,       02.9338330,       00.2824570,      -00.2406055,       02.8690600,       00.2727589,      -00.1899819,       02.8593700,       00.0844391,       00.4856470,       02.8788710,      -00.0441153,       00.4479339,       02.8578850,      -00.1816678,       00.2032628,       02.9321260,      -00.2521085,      -00.0194748,       02.8682480,      -00.3048322,      -00.1123907,       02.8722980,      -00.3570636,      -00.2081649,       02.8819570,      -00.2959347,      -00.1428145,       02.8552080,       00.1982197,      -00.0316384,       02.9178070,       00.2164778,      -00.4328828,       03.0130670,       00.2296095,      -00.8092998,       03.1304410,       00.2423873,      -00.8895000,       02.9551690,       00.0194849,      -00.0267103,       02.9170190,       00.0048753,      -00.4286560,       03.0079300,      -00.0018187,      -00.8094783,       03.1256580,      -00.0278077,      -00.8875017,       02.9681000,       00.1228988,       00.6053759,       02.8688410,       00.1046755,       00.6495512,       02.7101890,       00.1381052,       00.6831031,       02.7431700,       00.2110321,       00.6650184,       02.8501380,       00.0842700,       00.6833924,       02.7460280,       00.0421841,       00.6782766,       02.8743050
    3788.7130000,       00.1093307,      -00.0272271,       02.9191330,       00.1124977,       00.1538026,       02.8856290,       00.1151271,       00.3003621,       02.8721230,       00.1202997,       00.5242797,       02.8786640,       00.1542346,       00.4867634,       02.8783570,       00.2900913,       00.4293576,       02.8744030,       00.3320870,       00.1620302,       02.9645010,       00.3373252,      -00.0712947,       02.9112580,       00.3402296,      -00.1694479,       02.9265730,       00.2806464,      -00.2425515,       02.8670500,       00.2694885,      -00.1842745,       02.8582090,       00.0847877,       00.4877332,       02.8789740,      -00.0428095,       00.4436447,       02.8649010,      -00.2033894,       00.2097113,       02.9276820,      -00.3147861,       00.0045011,       02.8625500,      -00.3592374,      -00.0923344,       02.8724320,      -00.4078839,      -00.1819789,       02.9126020,      -00.3462486,      -00.1117447,       02.8609500,       00.2034218,      -00.0289569,       02.9186810,       00.2177948,      -00.4302910,       03.0158640,       00.2287088,      -00.8069444,       03.1339290,       00.2426280,      -00.8904814,       02.9601120,       00.0244845,      -00.0256672,       02.9195410,       00.0074568,      -00.4282151,       03.0090850,      -00.0009694,      -00.8095737,       03.1262140,      -00.0238679,      -00.8852391,       02.9668510,       00.1221024,       00.6077938,       02.8672590,       00.1038903,       00.6560321,       02.7096320,       00.1391592,       00.6874589,       02.7428830,       00.2125786,       00.6640316,       02.8486190,       00.0853748,       00.6899980,       02.7464400,       00.0446045,       00.6840276,       02.8752350
    3788.7680000,       00.1095288,      -00.0278456,       02.9166860,       00.1131876,       00.1514907,       02.8819200,       00.1159678,       00.2970728,       02.8703320,       00.1247598,       00.5192057,       02.8744670,       00.1578206,       00.4814329,       02.8742840,       00.2939849,       00.4276594,       02.8730850,       00.3324032,       00.1621865,       02.9633300,       00.3374365,      -00.0696969,       02.9120720,       00.3380795,      -00.1650700,       02.9371490,       00.2810838,      -00.2234137,       02.8623580,       00.2726274,      -00.1759212,       02.8491350,       00.0889410,       00.4835259,       02.8754320,      -00.0410156,       00.4508519,       02.8618820,      -00.2141007,       00.2311252,       02.9320020,      -00.3358072,       00.0367823,       02.8593490,      -00.4015098,      -00.0460525,       02.8691650,      -00.4576811,      -00.1306223,       02.9082100,      -00.3745145,      -00.0652563,       02.8442130,       00.2028899,      -00.0295436,       02.9177520,       00.2177908,      -00.4273403,       03.0159040,       00.2288185,      -00.8005272,       03.1348210,       00.2429820,      -00.8863593,       02.9638160,       00.0253410,      -00.0263144,       02.9157250,       00.0080188,      -00.4258214,       03.0042140,      -00.0015232,      -00.8045503,       03.1193310,      -00.0234574,      -00.8848532,       02.9636700,       00.1278026,       00.6019149,       02.8622740,       00.1033828,       00.6492420,       02.7065620,       00.1391281,       00.6809629,       02.7382160,       00.2160719,       00.6589078,       02.8404390,       00.0858931,       00.6827586,       02.7436880,       00.0502101,       00.6765165,       02.8728890
    3788.8240000,       00.1102742,      -00.0271325,       02.9169750,       00.1129465,       00.1522876,       02.8833330,       00.1153453,       00.2976810,       02.8707920,       00.1251562,       00.5196053,       02.8742930,       00.1580162,       00.4817103,       02.8741920,       00.2939458,       00.4276519,       02.8734500,       00.3323145,       00.1616763,       02.9615030,       00.3377207,      -00.0705749,       02.9128900,       00.3414547,      -00.1662803,       02.9360510,       00.2803516,      -00.2265058,       02.8662940,       00.2725063,      -00.1805962,       02.8551890,       00.0892026,       00.4841221,       02.8753820,      -00.0407361,       00.4527981,       02.8597020,      -00.2178092,       00.2350233,       02.9248350,      -00.3377713,       00.0369162,       02.8605630,      -00.4055295,      -00.0447084,       02.8587810,      -00.4691699,      -00.1280102,       02.8874800,      -00.3808621,      -00.0645000,       02.8398910,       00.2035560,      -00.0287990,       02.9154970,       00.2171546,      -00.4269432,       03.0110340,       00.2269302,      -00.8005500,       03.1276970,       00.2421506,      -00.8881190,       02.9578380,       00.0261578,      -00.0256298,       02.9183080,       00.0079901,      -00.4251419,       03.0050820,      -00.0012621,      -00.8039466,       03.1188850,      -00.0301698,      -00.8859230,       02.9654090,       00.1285686,       00.6021994,       02.8618750,       00.1090628,       00.6485549,       02.7053180,       00.1430112,       00.6809940,       02.7381190,       00.2164663,       00.6606772,       02.8431010,       00.0896294,       00.6818354,       02.7416200,       00.0493633,       00.6753486,       02.8693430
