       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    6237.9720000,       00.0877782,      -00.0242957,       02.9056270,       00.0933992,       00.1549596,       02.8853200,       00.0982190,       00.2991693,       02.8861490,       00.0983302,       00.5187922,       02.8833350,       00.1324218,       00.4827935,       02.8842130,       00.2674513,       00.4330625,       02.8697420,       00.3256004,       00.1660906,       02.9289370,       00.3389573,      -00.0640455,       02.8851480,       00.3889037,      -00.1225229,       02.8253490,       00.3706243,      -00.2286810,       02.8067370,       00.3037042,      -00.1897023,       02.8177510,       00.0643537,       00.4822407,       02.8855080,      -00.0606050,       00.4370609,       02.8787620,      -00.1264237,       00.1658067,       02.9356290,      -00.1409227,      -00.0607404,       02.8654330,      -00.1444205,      -00.1653185,       02.8727420,      -00.0784836,      -00.2461729,       02.8470410,      -00.0958940,      -00.1823762,       02.8477750,       00.1799600,      -00.0273674,       02.9040290,       00.1936584,      -00.4176169,       03.0115080,       00.2019278,      -00.7824717,       03.1404740,       00.2142154,      -00.8843570,       02.9811350,       00.0046537,      -00.0215257,       02.9070690,      -00.0133454,      -00.4154772,       02.9973980,      -00.0246051,      -00.7880902,       03.1158090,      -00.0345590,      -00.8855107,       02.9715290,       00.0981152,       00.6001319,       02.8687290,       00.0416213,       00.6419774,       02.7221510,       00.0824461,       00.6743730,       02.7442950,       00.1782630,       00.6559668,       02.8275360,       00.0321715,       00.6761714,       02.7606360,       00.0247278,       00.6739085,       02.8929590
    6238.0300000,       00.0866329,      -00.0256742,       02.9002060,       00.0920935,       00.1542936,       02.8826200,       00.0973755,       00.2987662,       02.8867030,       00.0946334,       00.5188945,       02.8853250,       00.1292613,       00.4832558,       02.8863760,       00.2648876,       00.4338298,       02.8731430,       00.3244181,       00.1657445,       02.9288950,       00.3391579,      -00.0643591,       02.8825390,       00.3887900,      -00.1246503,       02.8239230,       00.3733559,      -00.2280003,       02.7909670,       00.3061647,      -00.1905489,       02.8193650,       00.0610382,       00.4818037,       02.8868570,      -00.0632177,       00.4346433,       02.8759100,      -00.1272891,       00.1634055,       02.9379250,      -00.1369129,      -00.0632531,       02.8654250,      -00.1426646,      -00.1673891,       02.8786870,      -00.0797034,      -00.2493833,       02.8484860,      -00.0953986,      -00.1849685,       02.8550980,       00.1789241,      -00.0289197,       02.8956500,       00.1934683,      -00.4192491,       03.0062210,       00.2030257,      -00.7835068,       03.1394110,       00.2086455,      -00.8835466,       02.9780190,       00.0034099,      -00.0227477,       02.9043130,      -00.0130737,      -00.4170565,       02.9975280,      -00.0221787,      -00.7899280,       03.1182830,      -00.0288189,      -00.8863257,       02.9726420,       00.0935220,       00.6005092,       02.8712180,       00.0423378,       00.6419253,       02.7221700,       00.0826453,       00.6742882,       02.7456080,       00.1755858,       00.6557714,       02.8324650,       00.0317221,       00.6764748,       02.7601970,       00.0195983,       00.6750171,       02.8924920
    6238.0950000,       00.0854601,      -00.0265035,       02.9006660,       00.0910355,       00.1531071,       02.8812650,       00.0962687,       00.2974939,       02.8831580,       00.0946374,       00.5174314,       02.8817990,       00.1290600,       00.4816495,       02.8825290,       00.2650563,       00.4332607,       02.8708020,       00.3230371,       00.1654689,       02.9282780,       00.3384706,      -00.0644647,       02.8824010,       00.3872976,      -00.1253909,       02.8239150,       00.3624068,      -00.2275775,       02.7935540,       00.3023914,      -00.1900132,       02.8219710,       00.0609003,       00.4805462,       02.8836420,      -00.0642351,       00.4351509,       02.8780540,      -00.1265863,       00.1628502,       02.9358130,      -00.1367747,      -00.0652216,       02.8687420,      -00.1374445,      -00.1701734,       02.8729440,      -00.0721060,      -00.2522637,       02.8490690,      -00.0904284,      -00.1867463,       02.8463840,       00.1776921,      -00.0297945,       02.8967050,       00.1930092,      -00.4194168,       03.0082940,       00.2031966,      -00.7831349,       03.1418740,       00.2141631,      -00.8868079,       02.9832790,       00.0022905,      -00.0235359,       02.9042390,      -00.0131282,      -00.4177026,       02.9966140,      -00.0208719,      -00.7896649,       03.1190880,      -00.0312291,      -00.8843103,       02.9727100,       00.0938117,       00.5989758,       02.8677120,       00.0431400,       00.6404586,       02.7186710,       00.0822454,       00.6736491,       02.7428500,       00.1746457,       00.6568283,       02.8304510,       00.0311751,       00.6742765,       02.7568880,       00.0176961,       00.6711227,       02.8889000
    6238.1570000,       00.0854590,      -00.0264970,       02.9006750,       00.0910331,       00.1531153,       02.8812740,       00.0962652,       00.2975034,       02.8831680,       00.0946345,       00.5174427,       02.8818110,       00.1290572,       00.4816605,       02.8825420,       00.2650558,       00.4332716,       02.8708260,       00.3230360,       00.1654815,       02.9283230,       00.3384790,      -00.0644581,       02.8824680,       00.3873156,      -00.1253996,       02.8240040,       00.3624201,      -00.2275970,       02.7936790,       00.3022658,      -00.1899687,       02.8220050,       00.0608968,       00.4805573,       02.8836530,      -00.0642405,       00.4351651,       02.8780540,      -00.1266131,       00.1628611,       02.9357860,      -00.1368056,      -00.0652049,       02.8686890,      -00.1374920,      -00.1701583,       02.8728680,      -00.0721501,      -00.2522406,       02.8489710,      -00.0904876,      -00.1867339,       02.8463220,       00.1776918,      -00.0297872,       02.8967130,       00.1930123,      -00.4194141,       03.0082990,       00.2032045,      -00.7831395,       03.1418690,       00.2141700,      -00.8868024,       02.9832650,       00.0022886,      -00.0235301,       02.9042470,      -00.0131175,      -00.4176972,       02.9966390,      -00.0208400,      -00.7896516,       03.1191480,      -00.0312112,      -00.8842993,       02.9727710,       00.0938095,       00.5989881,       02.8677250,       00.0431374,       00.6404762,       02.7186840,       00.0822410,       00.6736680,       02.7428660,       00.1746417,       00.6568475,       02.8304680,       00.0311700,       00.6742918,       02.7569030,       00.0176890,       00.6711305,       02.8889160
    6238.2150000,       00.0853764,      -00.0260241,       02.9022320,       00.0911492,       00.1534811,       02.8827520,       00.0961599,       00.2978003,       02.8848940,       00.0953749,       00.5176057,       02.8811810,       00.1296334,       00.4817267,       02.8827260,       00.2650073,       00.4325301,       02.8683490,       00.3231654,       00.1649856,       02.9261180,       00.3389592,      -00.0642887,       02.8777320,       00.3880039,      -00.1328300,       02.8287010,       00.3628242,      -00.2327970,       02.7920390,       00.3065391,      -00.1914731,       02.8244270,       00.0614954,       00.4808834,       02.8829890,      -00.0642617,       00.4386286,       02.8714620,      -00.1338197,       00.1698661,       02.9364140,      -00.1424579,      -00.0561255,       02.8628210,      -00.1433131,      -00.1610485,       02.8663450,      -00.0788839,      -00.2445327,       02.8452330,      -00.0965561,      -00.1757392,       02.8498860,       00.1776316,      -00.0291987,       02.9003180,       00.1931176,      -00.4197887,       03.0076870,       00.2021924,      -00.7842965,       03.1386080,       00.2131383,      -00.8842630,       02.9777610,       00.0021858,      -00.0231614,       02.9039580,      -00.0129662,      -00.4167143,       02.9980940,      -00.0210041,      -00.7883233,       03.1209970,      -00.0286869,      -00.8821620,       02.9740400,       00.0950344,       00.5989573,       02.8662280,       00.0426288,       00.6404027,       02.7178670,       00.0821944,       00.6734254,       02.7414540,       00.1756138,       00.6563118,       02.8278150,       00.0313432,       00.6743313,       02.7561570,       00.0196009,       00.6714835,       02.8882760
    6238.2710000,       00.0853259,      -00.0258647,       02.9011310,       00.0910388,       00.1537646,       02.8816680,       00.0960068,       00.2981743,       02.8842220,       00.0950055,       00.5181373,       02.8813800,       00.1293231,       00.4822618,       02.8827360,       00.2648027,       00.4330285,       02.8685150,       00.3226910,       00.1646514,       02.9235250,       00.3380653,      -00.0640077,       02.8714760,       00.3833646,      -00.1313612,       02.8173350,       00.3609581,      -00.2321257,       02.7808400,       00.3021452,      -00.1924612,       02.8294770,       00.0611412,       00.4813512,       02.8830890,      -00.0646863,       00.4388651,       02.8721800,      -00.1331680,       00.1696197,       02.9371040,      -00.1416807,      -00.0564219,       02.8631430,      -00.1432184,      -00.1613445,       02.8681870,      -00.0795040,      -00.2463865,       02.8511560,      -00.0954279,      -00.1789580,       02.8441270,       00.1776436,      -00.0290070,       02.8992280,       00.1930608,      -00.4194314,       03.0082100,       00.2019009,      -00.7837694,       03.1403730,       00.2141656,      -00.8801177,       02.9772800,       00.0020789,      -00.0230312,       02.9028480,      -00.0130822,      -00.4169038,       02.9967980,      -00.0206850,      -00.7879705,       03.1221680,      -00.0285667,      -00.8819436,       02.9751700,       00.0945663,       00.5996010,       02.8667400,       00.0375709,       00.6413590,       02.7200490,       00.0775832,       00.6745895,       02.7426610,       00.1736368,       00.6577671,       02.8262710,       00.0271378,       00.6750500,       02.7588350,       00.0192207,       00.6715097,       02.8913090
    6238.3320000,       00.0847386,      -00.0255691,       02.9015390,       00.0889196,       00.1537369,       02.8811350,       00.0927074,       00.2979853,       02.8830180,       00.0929479,       00.5176398,       02.8805750,       00.1270200,       00.4816169,       02.8815620,       00.2629931,       00.4340718,       02.8684660,       00.3223441,       00.1668787,       02.9255980,       00.3397764,      -00.0634826,       02.8843430,       00.3828027,      -00.1239315,       02.8211990,       00.3670605,      -00.2287376,       02.7943490,       00.3032275,      -00.1920585,       02.8277790,       00.0589376,       00.4810982,       02.8825180,      -00.0671767,       00.4397307,       02.8730490,      -00.1330602,       00.1691643,       02.9331980,      -00.1422758,      -00.0556928,       02.8568470,      -00.1434887,      -00.1594238,       02.8724470,      -00.0840864,      -00.2460102,       02.8495840,      -00.0959605,      -00.1770722,       02.8442640,       00.1769411,      -00.0279623,       02.8994010,       00.1929122,      -00.4181482,       03.0069850,       00.2028662,      -00.7821827,       03.1382730,       00.2117059,      -00.8850851,       02.9793310,       00.0015956,      -00.0234111,       02.9034670,      -00.0131224,      -00.4168567,       02.9967700,      -00.0205244,      -00.7873837,       03.1219940,      -00.0285303,      -00.8817901,       02.9755780,       00.0928481,       00.5990140,       02.8661030,       00.0431735,       00.6400521,       02.7168300,       00.0816827,       00.6735656,       02.7413490,       00.1733375,       00.6576115,       02.8296530,       00.0305498,       00.6736801,       02.7549100,       00.0159368,       00.6703025,       02.8866270
    6238.3900000,       00.0845694,      -00.0266843,       02.8985800,       00.0890249,       00.1523937,       02.8779420,       00.0930474,       00.2964800,       02.8799000,       00.0924316,       00.5159108,       02.8791570,       00.1265979,       00.4800545,       02.8802710,       00.2631564,       00.4341885,       02.8691350,       00.3214187,       00.1667357,       02.9246850,       00.3370786,      -00.0629577,       02.8805260,       00.3831260,      -00.1254461,       02.8218150,       00.3676101,      -00.2268456,       02.7843340,       00.2995656,      -00.1883402,       02.8224330,       00.0585845,       00.4792608,       02.8804090,      -00.0673629,       00.4382939,       02.8691480,      -00.1343520,       00.1690129,       02.9323240,      -00.1419698,      -00.0573013,       02.8610630,      -00.1466754,      -00.1619708,       02.8629430,      -00.0833937,      -00.2457821,       02.8406970,      -00.0961234,      -00.1774695,       02.8441200,       00.1766682,      -00.0292260,       02.8964080,       00.1922271,      -00.4182451,       03.0066140,       00.2023701,      -00.7811322,       03.1398270,       00.2139577,      -00.8850125,       02.9819440,       00.0015199,      -00.0243924,       02.9005380,      -00.0128339,      -00.4171680,       02.9948370,      -00.0205314,      -00.7882602,       03.1170240,      -00.0310252,      -00.8824169,       02.9708280,       00.0921764,       00.5973068,       02.8653290,       00.0428546,       00.6387790,       02.7162480,       00.0820231,       00.6716010,       02.7405170,       00.1735473,       00.6542108,       02.8284850,       00.0310000,       00.6727158,       02.7542250,       00.0167648,       00.6700113,       02.8858560
    6238.4480000,       00.0843705,      -00.0269176,       02.8968930,       00.0890901,       00.1525690,       02.8770620,       00.0931146,       00.2969205,       02.8783390,       00.0928466,       00.5167356,       02.8803770,       00.1270283,       00.4807548,       02.8805010,       00.2622685,       00.4319655,       02.8637610,       00.3229814,       00.1650991,       02.9219540,       00.3384690,      -00.0649562,       02.8773970,       00.3816853,      -00.1314380,       02.8206640,       00.3665534,      -00.2320208,       02.7803630,       00.3060663,      -00.1935113,       02.8288550,       00.0589028,       00.4800562,       02.8817020,      -00.0670322,       00.4378112,       02.8723900,      -00.1337651,       00.1674329,       02.9334040,      -00.1416145,      -00.0575311,       02.8566880,      -00.1457679,      -00.1622095,       02.8634580,      -00.0821777,      -00.2474059,       02.8472450,      -00.0945067,      -00.1778021,       02.8479960,       00.1766509,      -00.0294795,       02.8956670,       00.1922234,      -00.4192130,       03.0060020,       00.2022735,      -00.7835995,       03.1371200,       00.2134706,      -00.8843822,       02.9768140,       00.0011573,      -00.0246074,       02.8979990,      -00.0132259,      -00.4175935,       02.9944870,      -00.0205945,      -00.7877024,       03.1218040,      -00.0308180,      -00.8832685,       02.9761330,       00.0925068,       00.5984460,       02.8675590,       00.0431969,       00.6351737,       02.7169220,       00.0817306,       00.6693610,       02.7405500,       00.1732268,       00.6558659,       02.8295580,       00.0305311,       00.6699513,       02.7539940,       00.0156061,       00.6704736,       02.8858130
    6238.5040000,       00.0818193,      -00.0258307,       02.8971100,       00.0874628,       00.1538021,       02.8768680,       00.0923261,       00.2982973,       02.8785520,       00.0919907,       00.5183817,       02.8771440,       00.1262215,       00.4823755,       02.8780160,       00.2619341,       00.4333495,       02.8646190,       00.3202152,       00.1664173,       02.9264980,       00.3305516,      -00.0649140,       02.8857260,       00.3881295,      -00.1231422,       02.8325920,       00.3648658,      -00.2171120,       02.7813340,       00.2998086,      -00.1863468,       02.8308750,       00.0580088,       00.4816719,       02.8788630,      -00.0677057,       00.4388064,       02.8673720,      -00.1341188,       00.1686310,       02.9311730,      -00.1427240,      -00.0585578,       02.8604410,      -00.1459074,      -00.1636129,       02.8611110,      -00.0843204,      -00.2509892,       02.8482570,      -00.0955871,      -00.1798360,       02.8458170,       00.1741877,      -00.0289201,       02.8954450,       00.1912887,      -00.4191278,       03.0056690,       00.2026846,      -00.7835664,       03.1379040,       00.2140994,      -00.8842510,       02.9772820,      -00.0014733,      -00.0230448,       02.8986100,      -00.0136603,      -00.4165054,       02.9955100,      -00.0199978,      -00.7887048,       03.1181500,      -00.0283196,      -00.8874689,       02.9742500,       00.0916986,       00.5999792,       02.8630300,       00.0377277,       00.6378805,       02.7140790,       00.0762235,       00.6725399,       02.7372390,       00.1703535,       00.6596144,       02.8237750,       00.0253262,       00.6719094,       02.7520150,       00.0137954,       00.6702645,       02.8843250
    6238.5590000,       00.0817543,      -00.0259084,       02.8979770,       00.0873546,       00.1539765,       02.8781290,       00.0918417,       00.2985929,       02.8824730,       00.0905152,       00.5188140,       02.8753850,       00.1249408,       00.4829641,       02.8774410,       00.2601430,       00.4321226,       02.8638680,       00.3229712,       00.1649654,       02.9216320,       00.3373823,      -00.0649397,       02.8732060,       00.3854675,      -00.1327560,       02.8218310,       00.3609464,      -00.2282784,       02.7738690,       00.2963208,      -00.1875942,       02.8315890,       00.0566501,       00.4819582,       02.8778000,      -00.0689191,       00.4382330,       02.8661990,      -00.1357782,       00.1679461,       02.9305120,      -00.1413501,      -00.0590864,       02.8580830,      -00.1414021,      -00.1628876,       02.8753340,      -00.0792780,      -00.2437123,       02.8403030,      -00.0958194,      -00.1778527,       02.8508780,       00.1742499,      -00.0287803,       02.8980460,       00.1915790,      -00.4196058,       03.0077450,       00.2024122,      -00.7843894,       03.1403690,       00.2141367,      -00.8844327,       02.9791140,      -00.0016529,      -00.0233186,       02.8979150,      -00.0138128,      -00.4170887,       02.9954890,      -00.0202170,      -00.7888445,       03.1208650,      -00.0305757,      -00.8823808,       02.9734070,       00.0899582,       00.6001113,       02.8591530,       00.0378126,       00.6378366,       02.7093080,       00.0756308,       00.6728801,       02.7331540,       00.1686661,       00.6607194,       02.8211880,       00.0244654,       00.6716856,       02.7471650,       00.0109217,       00.6696136,       02.8794300
    6238.6150000,       00.0813527,      -00.0270036,       02.8968150,       00.0865714,       00.1526120,       02.8776950,       00.0912885,       00.2969711,       02.8806030,       00.0891765,       00.5168297,       02.8766510,       00.1236613,       00.4811490,       02.8782320,       00.2596003,       00.4330212,       02.8651940,       00.3214428,       00.1660933,       02.9223940,       00.3405326,      -00.0645171,       02.8818360,       00.3826686,      -00.1289573,       02.8219610,       00.3625485,      -00.2333411,       02.7959230,       00.2973332,      -00.1928135,       02.8316970,       00.0555091,       00.4798945,       02.8785010,      -00.0704136,       00.4379462,       02.8672030,      -00.1374008,       00.1687731,       02.9335190,      -00.1417307,      -00.0569573,       02.8585280,      -00.1462346,      -00.1618381,       02.8556410,      -00.0785706,      -00.2442255,       02.8412440,      -00.0951035,      -00.1773227,       02.8453910,       00.1736249,      -00.0299656,       02.8941750,       00.1923346,      -00.4188849,       03.0073960,       00.2041937,      -00.7819121,       03.1424880,       00.2198575,      -00.8873325,       02.9854910,      -00.0018532,      -00.0243327,       02.8991960,      -00.0142376,      -00.4173241,       02.9965510,      -00.0202219,      -00.7883682,       03.1216340,      -00.0310035,      -00.8821741,       02.9747880,       00.0883437,       00.5981860,       02.8616040,       00.0435931,       00.6380563,       02.7102810,       00.0793275,       00.6732047,       02.7367730,       00.1675999,       00.6609089,       02.8292120,       00.0276254,       00.6707723,       02.7479760,       00.0071576,       00.6656356,       02.8789980
    6238.6710000,       00.0816879,      -00.0266777,       02.8946540,       00.0864883,       00.1527102,       02.8761910,       00.0907288,       00.2968352,       02.8792860,       00.0899130,       00.5162821,       02.8732500,       00.1241402,       00.4804597,       02.8745580,       00.2583077,       00.4289843,       02.8589360,       00.3216291,       00.1645790,       02.9234470,       00.3306325,      -00.0642242,       02.8727370,       00.3967119,      -00.1245454,       02.8343240,       00.3653715,      -00.2173223,       02.7858630,       00.3102256,      -00.1794048,       02.7918080,       00.0561128,       00.4796442,       02.8760550,      -00.0698660,       00.4382451,       02.8660960,      -00.1382788,       00.1704639,       02.9344830,      -00.1485833,      -00.0566884,       02.8659210,      -00.1457282,      -00.1614865,       02.8665990,      -00.0800665,      -00.2428700,       02.8421160,      -00.1022218,      -00.1757668,       02.8466350,       00.1738291,      -00.0293463,       02.8926830,       00.1922296,      -00.4180500,       03.0042230,       00.2038258,      -00.7807400,       03.1383560,       00.2178539,      -00.8842885,       02.9803500,      -00.0013998,      -00.0242713,       02.8964320,      -00.0139002,      -00.4165300,       02.9938720,      -00.0200929,      -00.7867727,       03.1192420,      -00.0309090,      -00.8830611,       02.9743700,       00.0893169,       00.5973564,       02.8574590,       00.0371143,       00.6342381,       02.7080740,       00.0737668,       00.6700104,       02.7321620,       00.1663280,       00.6599098,       02.8202680,       00.0227715,       00.6674445,       02.7458700,       00.0087133,       00.6644601,       02.8775730
    6238.7290000,       00.0813977,      -00.0268674,       02.8959260,       00.0857808,       00.1527930,       02.8763440,       00.0897185,       00.2972446,       02.8785950,       00.0893997,       00.5171724,       02.8733020,       00.1236170,       00.4811931,       02.8745040,       00.2579699,       00.4290218,       02.8600180,       00.3209674,       00.1641336,       02.9253990,       00.3304180,      -00.0651609,       02.8747130,       00.3903935,      -00.1227881,       02.8236980,       00.3611197,      -00.2232460,       02.7914560,       00.3039515,      -00.1816460,       02.7901630,       00.0554448,       00.4805248,       02.8759740,      -00.0704832,       00.4379035,       02.8668370,      -00.1378147,       00.1683812,       02.9318610,      -00.1478083,      -00.0584302,       02.8604590,      -00.1454885,      -00.1634390,       02.8581910,      -00.0786575,      -00.2454820,       02.8385670,      -00.1005224,      -00.1766932,       02.8459400,       00.1737340,      -00.0293514,       02.8938040,       00.1915729,      -00.4189997,       03.0052220,       00.2030048,      -00.7827384,       03.1388700,       00.2175658,      -00.8839126,       02.9789100,      -00.0018661,      -00.0246274,       02.8978400,      -00.0145153,      -00.4173667,       02.9968340,      -00.0205710,      -00.7881928,       03.1230420,      -00.0357325,      -00.8837571,       02.9776410,       00.0889920,       00.5984716,       02.8577580,       00.0336782,       00.6316682,       02.7082570,       00.0709259,       00.6680664,       02.7307180,       00.1654499,       00.6600682,       02.8173360,       00.0201115,       00.6659229,       02.7455530,       00.0087113,       00.6663290,       02.8778250
    6238.7930000,       00.0814655,      -00.0266575,       02.8960020,       00.0850515,       00.1527634,       02.8763940,       00.0884748,       00.2970305,       02.8783390,       00.0895631,       00.5166404,       02.8727330,       00.1235024,       00.4804933,       02.8739100,       00.2575911,       00.4281109,       02.8597670,       00.3206864,       00.1636852,       02.9252500,       00.3312685,      -00.0658927,       02.8776890,       00.3897196,      -00.1234653,       02.8251270,       00.3662408,      -00.2229760,       02.7863820,       00.3114306,      -00.1876863,       02.8033820,       00.0554260,       00.4802677,       02.8755270,      -00.0703724,       00.4378117,       02.8665510,      -00.1389070,       00.1688944,       02.9310720,      -00.1471569,      -00.0583608,       02.8620040,      -00.1457622,      -00.1631318,       02.8567480,      -00.0787940,      -00.2455099,       02.8400350,      -00.0999585,      -00.1778414,       02.8422240,       00.1736625,      -00.0288074,       02.8931910,       00.1919860,      -00.4179904,       03.0040920,       00.2039723,      -00.7811491,       03.1376980,       00.2177832,      -00.8843948,       02.9793180,      -00.0016727,      -00.0247189,       02.8985360,      -00.0144216,      -00.4168714,       02.9975270,      -00.0205886,      -00.7873004,       03.1231950,      -00.0350070,      -00.8816388,       02.9772130,       00.0896464,       00.5978043,       02.8570920,       00.0326363,       00.6275386,       02.7077480,       00.0701278,       00.6643580,       02.7288770,       00.1655512,       00.6582818,       02.8143910,       00.0195654,       00.6626148,       02.7443480,       00.0097775,       00.6660973,       02.8765170
    6238.8490000,       00.0814508,      -00.0266725,       02.8959730,       00.0850297,       00.1527504,       02.8763750,       00.0884479,       00.2970182,       02.8783230,       00.0895194,       00.5166291,       02.8727210,       00.1234617,       00.4804843,       02.8738930,       00.2575447,       00.4280981,       02.8597030,       00.3205980,       00.1636374,       02.9250900,       00.3310863,      -00.0659152,       02.8773800,       00.3893520,      -00.1234745,       02.8245970,       00.3654651,      -00.2229122,       02.7859140,       00.3107806,      -00.1874846,       02.8027380,       00.0553852,       00.4802539,       02.8755210,      -00.0704096,       00.4377805,       02.8665690,      -00.1388801,       00.1688539,       02.9311240,      -00.1471174,      -00.0584174,       02.8621040,      -00.1456973,      -00.1631886,       02.8568490,      -00.0787538,      -00.2455742,       02.8400720,      -00.0998187,      -00.1779053,       02.8420640,       00.1736482,      -00.0288190,       02.8931590,       00.1919818,      -00.4180187,       03.0040060,       00.2039885,      -00.7812125,       03.1375200,       00.2177789,      -00.8843735,       02.9790820,      -00.0016877,      -00.0247370,       02.8985120,      -00.0144323,      -00.4169089,       02.9974320,      -00.0206205,      -00.7873792,       03.1229840,      -00.0348688,      -00.8816896,       02.9769660,       00.0895942,       00.5977938,       02.8570820,       00.0325386,       00.6275383,       02.7077570,       00.0700226,       00.6643665,       02.7288850,       00.1654686,       00.6583062,       02.8143760,       00.0194643,       00.6626028,       02.7443670,       00.0097060,       00.6660555,       02.8765400
    6238.9070000,       00.0809923,      -00.0272604,       02.8958580,       00.0851151,       00.1519494,       02.8758090,       00.0887314,       00.2961013,       02.8747790,       00.0893949,       00.5155581,       02.8703990,       00.1233766,       00.4794976,       02.8712200,       00.2572062,       00.4273154,       02.8552320,       00.3208179,       00.1637607,       02.9227050,       00.3297167,      -00.0656786,       02.8750920,       00.3887629,      -00.1308334,       02.8333000,       00.3607254,      -00.2240469,       02.7837010,       00.3071086,      -00.1826753,       02.7966190,       00.0553653,       00.4791380,       02.8731440,      -00.0704229,       00.4369423,       02.8644410,      -00.1384460,       00.1685081,       02.9304540,      -00.1481950,      -00.0571767,       02.8572350,      -00.1430325,      -00.1616233,       02.8644810,      -00.0774442,      -00.2437260,       02.8423830,      -00.1000720,      -00.1769520,       02.8409510,       00.1731331,      -00.0295851,       02.8940260,       00.1918198,      -00.4182916,       03.0053080,       00.2041883,      -00.7810404,       03.1390610,       00.2152689,      -00.8841069,       02.9805380,      -00.0020951,      -00.0251642,       02.8975090,      -00.0150417,      -00.4174438,       02.9945780,      -00.0211483,      -00.7880303,       03.1187660,      -00.0353408,      -00.8848263,       02.9745530,       00.0892596,       00.5967406,       02.8552260,       00.0334175,       00.6277366,       02.7058430,       00.0710064,       00.6641336,       02.7274010,       00.1657832,       00.6568819,       02.8133810,       00.0203818,       00.6626576,       02.7425420,       00.0098223,       00.6654231,       02.8745580
