       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    4433.5420000,       00.1087968,      -00.0274752,       02.9174230,       00.1132701,       00.1539171,       02.8886230,       00.1170628,       00.3002842,       02.8770320,       00.1180521,       00.5238201,       02.8808670,       00.1524937,       00.4869899,       02.8831030,       00.2891963,       00.4331561,       02.8738820,       00.3360357,       00.1636966,       02.9524890,       00.3417354,      -00.0699031,       02.9030410,       00.3286397,      -00.1646339,       02.9292600,       00.2741891,      -00.2363293,       02.8638660,       00.2681713,      -00.1772637,       02.8513450,       00.0832856,       00.4867428,       02.8795290,      -00.0399336,       00.4385805,       02.8505820,      -00.1085876,       00.1639140,       02.9131860,      -00.1185926,      -00.0714773,       02.8585000,      -00.1085635,      -00.1366301,       02.9424880,      -00.0855748,      -00.2323312,       02.8947870,      -00.0690439,      -00.1887403,       02.8616720,       00.2026480,      -00.0300239,       02.9159470,       00.2186339,      -00.4289812,       03.0185810,       00.2292598,      -00.8028152,       03.1425330,       00.2432854,      -00.8880184,       02.9700190,       00.0241671,      -00.0251768,       02.9187540,       00.0096534,      -00.4260384,       03.0119740,       00.0050243,      -00.8056441,       03.1319320,      -00.0244776,      -00.8876620,       02.9773130,       00.1191308,       00.6070191,       02.8685030,       00.0919214,       00.6517071,       02.7115170,       00.1268304,       00.6853131,       02.7427300,       00.2055594,       00.6673139,       02.8452990,       00.0733041,       00.6851923,       02.7485400,       00.0384284,       00.6792015,       02.8787400
    4433.6150000,       00.1097624,      -00.0269453,       02.9198320,       00.1137230,       00.1548451,       02.8892320,       00.1171600,       00.3018095,       02.8782930,       00.1193794,       00.5261828,       02.8796000,       00.1537447,       00.4890574,       02.8822590,       00.2911581,       00.4350288,       02.8769790,       00.3360758,       00.1638338,       02.9545030,       00.3428914,      -00.0707065,       02.9054260,       00.3280163,      -00.1654500,       02.9320200,       00.2747889,      -00.2347815,       02.8625060,       00.2673643,      -00.1771143,       02.8556720,       00.0842828,       00.4891484,       02.8786800,      -00.0398149,       00.4404082,       02.8522430,      -00.1082389,       00.1643839,       02.9140400,      -00.1201556,      -00.0724294,       02.8620240,      -00.1126987,      -00.1402400,       02.9446620,      -00.0868319,      -00.2327350,       02.8915050,      -00.0702196,      -00.1905276,       02.8670230,       00.2039607,      -00.0292677,       02.9182280,       00.2185840,      -00.4302830,       03.0190930,       00.2291478,      -00.8063927,       03.1407300,       00.2378829,      -00.8883023,       02.9655030,       00.0248196,      -00.0248510,       02.9212790,       00.0093372,      -00.4272896,       03.0142100,       00.0028649,      -00.8087124,       03.1331530,      -00.0241495,      -00.8892826,       02.9765840,       00.1209165,       00.6095328,       02.8662450,       00.0857623,       00.6555130,       02.7105770,       00.1228364,       00.6886587,       02.7401310,       00.2070244,       00.6691218,       02.8386100,       00.0695063,       00.6891518,       02.7488330,       00.0414788,       00.6828914,       02.8811690
    4433.6700000,       00.1099810,      -00.0272029,       02.9170420,       00.1137781,       00.1539705,       02.8867280,       00.1170141,       00.3006288,       02.8792520,       00.1206284,       00.5241560,       02.8756100,       00.1546631,       00.4870112,       02.8787640,       00.2921217,       00.4345685,       02.8734220,       00.3363822,       00.1645471,       02.9516640,       00.3423853,      -00.0700084,       02.9069220,       00.3279004,      -00.1652877,       02.9302930,       00.2751012,      -00.2364365,       02.8629630,       00.2680957,      -00.1786151,       02.8605500,       00.0854214,       00.4874681,       02.8758250,      -00.0391137,       00.4400789,       02.8515710,      -00.1082562,       00.1654244,       02.9137810,      -00.1191542,      -00.0702302,       02.8603410,      -00.1143286,      -00.1413566,       02.9398310,      -00.0857344,      -00.2298138,       02.8821960,      -00.0693935,      -00.1885171,       02.8620880,       00.2038567,      -00.0293198,       02.9161500,       00.2186466,      -00.4285762,       03.0179090,       00.2288845,      -00.8025797,       03.1414670,       00.2432301,      -00.8876047,       02.9688770,       00.0253292,      -00.0252940,       02.9178480,       00.0102847,      -00.4257546,       03.0128150,       00.0048340,      -00.8048760,       03.1343500,      -00.0244774,      -00.8886261,       02.9806120,       00.1225542,       00.6068842,       02.8604640,       00.0899277,       00.6609874,       02.7075130,       00.1250225,       00.6932861,       02.7398840,       00.2070263,       00.6704759,       02.8388790,       00.0716955,       00.6915914,       02.7471360,       00.0407048,       00.6764343,       02.8775830
    4433.7260000,       00.1095518,      -00.0280738,       02.9187400,       00.1137144,       00.1528592,       02.8868610,       00.1172384,       00.2994253,       02.8774090,       00.1210611,       00.5230172,       02.8759040,       00.1550720,       00.4858047,       02.8786450,       00.2928919,       00.4341514,       02.8742050,       00.3362371,       00.1636321,       02.9514330,       00.3417893,      -00.0700854,       02.9022230,       00.3286181,      -00.1638180,       02.9318660,       00.2752980,      -00.2358521,       02.8658650,       00.2676460,      -00.1771535,       02.8527290,       00.0858126,       00.4863549,       02.8758260,      -00.0391803,       00.4392519,       02.8532820,      -00.1085430,       00.1646994,       02.9159580,      -00.1184691,      -00.0705856,       02.8605230,      -00.1156357,      -00.1423302,       02.9395810,      -00.0846682,      -00.2316145,       02.8844620,      -00.0686065,      -00.1887003,       02.8666580,       00.2034413,      -00.0303875,       02.9178680,       00.2183282,      -00.4299355,       03.0187900,       00.2293684,      -00.8042380,       03.1416170,       00.2393851,      -00.8854098,       02.9668370,       00.0248875,      -00.0259874,       02.9195270,       00.0103269,      -00.4270539,       03.0123350,       00.0047164,      -00.8075831,       03.1296440,      -00.0273366,      -00.8857641,       02.9734980,       00.1230411,       00.6059012,       02.8615460,       00.0950046,       00.6588066,       02.7072370,       00.1288556,       00.6915408,       02.7405030,       00.2077948,       00.6698865,       02.8422430,       00.0753243,       00.6895618,       02.7460560,       00.0402527,       00.6750652,       02.8755680
    4433.7890000,       00.1095333,      -00.0279726,       02.9184400,       00.1149274,       00.1531872,       02.8877060,       00.1194993,       00.2998326,       02.8792290,       00.1215082,       00.5235109,       02.8765550,       00.1557902,       00.4865848,       02.8800070,       00.2933137,       00.4342273,       02.8734970,       00.3365148,       00.1641022,       02.9525120,       00.3415388,      -00.0700218,       02.9048180,       00.3264549,      -00.1657140,       02.9262650,       00.2747795,      -00.2340401,       02.8551490,       00.2687450,      -00.1765743,       02.8508860,       00.0865556,       00.4865455,       02.8761530,      -00.0374493,       00.4389887,       02.8492580,      -00.1090525,       00.1648173,       02.9115240,      -00.1191861,      -00.0718819,       02.8621280,      -00.1160963,      -00.1418308,       02.9428160,      -00.0854058,      -00.2318961,       02.8887510,      -00.0687539,      -00.1903363,       02.8574970,       00.2034312,      -00.0309681,       02.9172630,       00.2179306,      -00.4309092,       03.0172360,       00.2281486,      -00.8056563,       03.1391910,       00.2369424,      -00.8862696,       02.9640180,       00.0248615,      -00.0252715,       02.9195010,       00.0100246,      -00.4265358,       03.0120130,       00.0049378,      -00.8067135,       03.1309200,      -00.0291968,      -00.8853647,       02.9753870,       00.1230222,       00.6063576,       02.8617690,       00.0899953,       00.6555998,       02.7071770,       00.1249732,       00.6890675,       02.7385240,       00.2072070,       00.6697032,       02.8381500,       00.0716329,       00.6873337,       02.7458770,       00.0408005,       00.6760347,       02.8768260
    4433.8440000,       00.1094898,      -00.0280852,       02.9174250,       00.1154960,       00.1534685,       02.8879070,       00.1204438,       00.3002258,       02.8787220,       00.1212365,       00.5241802,       02.8781820,       00.1557761,       00.4873677,       02.8810700,       00.2933671,       00.4348191,       02.8737980,       00.3362049,       00.1635236,       02.9501170,       00.3419514,      -00.0717233,       02.9068830,       00.3267636,      -00.1676966,       02.9275040,       00.2736989,      -00.2348152,       02.8560650,       00.2674376,      -00.1788358,       02.8565830,       00.0864416,       00.4869892,       02.8776400,      -00.0381194,       00.4392408,       02.8529740,      -00.1080691,       00.1645213,       02.9162270,      -00.1184863,      -00.0715509,       02.8627180,      -00.1082928,      -00.1398444,       02.9443940,      -00.0857028,      -00.2310415,       02.8880330,      -00.0680404,      -00.1883559,       02.8637550,       00.2034926,      -00.0312915,       02.9168320,       00.2190830,      -00.4316866,       03.0167510,       00.2292022,      -00.8068882,       03.1387600,       00.2433398,      -00.8877380,       02.9638040,       00.0247233,      -00.0251939,       02.9179600,       00.0096520,      -00.4263516,       03.0129420,       00.0032130,      -00.8060899,       03.1346650,      -00.0269935,      -00.8881434,       02.9798490,       00.1222146,       00.6072655,       02.8641660,       00.0898441,       00.6564622,       02.7092210,       00.1245441,       00.6901025,       02.7408110,       00.2063723,       00.6710281,       02.8410200,       00.0711093,       00.6881492,       02.7478640,       00.0395326,       00.6766846,       02.8787780
    4433.9020000,       00.1091082,      -00.0284303,       02.9172460,       00.1144935,       00.1531019,       02.8877280,       00.1192604,       00.2998142,       02.8782530,       00.1211162,       00.5237131,       02.8777390,       00.1555027,       00.4867436,       02.8802270,       00.2932619,       00.4350475,       02.8709600,       00.3363234,       00.1642828,       02.9487880,       00.3418382,      -00.0710828,       02.9064710,       00.3278628,      -00.1668928,       02.9285530,       00.2735184,      -00.2360287,       02.8601000,       00.2666617,      -00.1762807,       02.8532490,       00.0861479,       00.4866968,       02.8775890,      -00.0386871,       00.4401871,       02.8521170,      -00.1079466,       00.1650606,       02.9140530,      -00.1193318,      -00.0707754,       02.8599460,      -00.1072151,      -00.1381783,       02.9420660,      -00.0853126,      -00.2299576,       02.8864300,      -00.0679368,      -00.1868309,       02.8629020,       00.2030524,      -00.0316577,       02.9145370,       00.2200663,      -00.4315914,       03.0156880,       00.2332206,      -00.8061204,       03.1391840,       00.2385854,      -00.8871505,       02.9638700,       00.0243946,      -00.0255201,       02.9196880,       00.0095374,      -00.4269246,       03.0132560,       00.0051862,      -00.8070500,       03.1335680,      -00.0273729,      -00.8878886,       02.9786340,       00.1223310,       00.6067773,       02.8637290,       00.0903168,       00.6618776,       02.7107480,       00.1271529,       00.6927907,       02.7426810,       00.2093078,       00.6667545,       02.8410000,       00.0738078,       00.6933809,       02.7505240,       00.0435826,       00.6798890,       02.8815330
    4433.9600000,       00.1096897,      -00.0290102,       02.9168970,       00.1154328,       00.1525612,       02.8889060,       00.1203389,       00.2990797,       02.8788660,       00.1213910,       00.5227508,       02.8776180,       00.1558598,       00.4859523,       02.8804260,       00.2930898,       00.4332965,       02.8711220,       00.3366159,       00.1630882,       02.9495520,       00.3414559,      -00.0713459,       02.9035330,       00.3270229,      -00.1657838,       02.9302790,       00.2750909,      -00.2347268,       02.8599710,       00.2682053,      -00.1769604,       02.8495920,       00.0865933,       00.4856463,       02.8773880,      -00.0372755,       00.4376807,       02.8506720,      -00.1102060,       00.1651807,       02.9183410,      -00.1188396,      -00.0703575,       02.8635460,      -00.1141773,      -00.1380287,       02.9460630,      -00.0857218,      -00.2302572,       02.8945070,      -00.0682473,      -00.1879422,       02.8595470,       00.2035523,      -00.0322923,       02.9148650,       00.2181890,      -00.4313660,       03.0180340,       00.2282613,      -00.8052570,       03.1424540,       00.2373136,      -00.8878564,       02.9682470,       00.0250496,      -00.0260505,       02.9187300,       00.0102928,      -00.4273583,       03.0108490,       00.0055191,      -00.8076603,       03.1292130,      -00.0270556,      -00.8897372,       02.9751460,       00.1223874,       00.6056868,       02.8633530,       00.0956382,       00.6547928,       02.7075300,       00.1283914,       00.6888620,       02.7405740,       00.2062325,       00.6708497,       02.8438950,       00.0748189,       00.6859915,       02.7454040,       00.0381163,       00.6735733,       02.8747110
    4434.0200000,       00.1093588,      -00.0301577,       02.9167100,       00.1147541,       00.1511262,       02.8878580,       00.1191996,       00.2974986,       02.8773670,       00.1212163,       00.5209167,       02.8724650,       00.1555217,       00.4840444,       02.8755000,       00.2930480,       00.4322089,       02.8682290,       00.3374947,       00.1638626,       02.9514810,       00.3427297,      -00.0699990,       02.9037120,       00.3274469,      -00.1647495,       02.9284850,       00.2744678,      -00.2348253,       02.8602640,       00.2674876,      -00.1763994,       02.8546210,       00.0862866,       00.4840046,       02.8732140,      -00.0384501,       00.4366817,       02.8502560,      -00.1179971,       00.1681529,       02.9248980,      -00.1321426,      -00.0649580,       02.8623520,      -00.1263065,      -00.1379871,       02.9399600,      -00.0920349,      -00.2315037,       02.8948710,      -00.0846036,      -00.1882468,       02.8534990,       00.2031714,      -00.0330537,       02.9160570,       00.2184009,      -00.4323807,       03.0166830,       00.2288092,      -00.8064822,       03.1393350,       00.2436244,      -00.8880348,       02.9652170,       00.0247638,      -00.0275463,       02.9172990,       00.0099269,      -00.4280184,       03.0114060,       00.0042953,      -00.8076866,       03.1305900,      -00.0239760,      -00.8886125,       02.9752490,       00.1224208,       00.6035320,       02.8568550,       00.0952355,       00.6531788,       02.7014330,       00.1291428,       00.6864138,       02.7340720,       00.2075567,       00.6665459,       02.8364700,       00.0756179,       00.6848679,       02.7394750,       00.0400476,       00.6734180,       02.8690640
    4434.0750000,       00.1092687,      -00.0314456,       02.9177860,       00.1147284,       00.1497674,       02.8873760,       00.1192878,       00.2963653,       02.8781050,       00.1217109,       00.5200452,       02.8759280,       00.1559943,       00.4830380,       02.8783430,       00.2933005,       00.4305466,       02.8689560,       00.3380720,       00.1629428,       02.9553340,       00.3419034,      -00.0703688,       02.9037080,       00.3279468,      -00.1655990,       02.9278110,       00.2744156,      -00.2359821,       02.8601590,       00.2677978,      -00.1779317,       02.8538730,       00.0866797,       00.4831549,       02.8763980,      -00.0389964,       00.4375505,       02.8543060,      -00.1170391,       00.1669388,       02.9239690,      -00.1359795,      -00.0653250,       02.8586690,      -00.1438779,      -00.1403853,       02.9342770,      -00.0973746,      -00.2331514,       02.8995120,      -00.0851063,      -00.1895788,       02.8538370,       00.2031707,      -00.0344214,       02.9169120,       00.2186313,      -00.4336337,       03.0196190,       00.2290454,      -00.8077539,       03.1434690,       00.2435995,      -00.8875714,       02.9683150,       00.0245932,      -00.0287622,       02.9185740,       00.0097539,      -00.4293306,       03.0140560,       00.0030198,      -00.8087680,       03.1352260,      -00.0239480,      -00.8860994,       02.9776370,       00.1229979,       00.6029258,       02.8613100,       00.0894585,       00.6548674,       02.7077150,       00.1253558,       00.6872448,       02.7391680,       00.2081404,       00.6649927,       02.8377300,       00.0720634,       00.6864139,       02.7470110,       00.0422533,       00.6739249,       02.8780880
    4434.1370000,       00.1092521,      -00.0314286,       02.9178620,       00.1147288,       00.1497792,       02.8874520,       00.1193016,       00.2963723,       02.8781680,       00.1218539,       00.5200444,       02.8759060,       00.1561158,       00.4830191,       02.8783240,       00.2933894,       00.4304543,       02.8689280,       00.3380675,       00.1628785,       02.9554180,       00.3417911,      -00.0704579,       02.9039240,       00.3278706,      -00.1656676,       02.9281180,       00.2742823,      -00.2361570,       02.8606270,       00.2677488,      -00.1781717,       02.8542230,       00.0868023,       00.4831756,       02.8764000,      -00.0389617,       00.4377303,       02.8545030,      -00.1175574,       00.1674570,       02.9248260,      -00.1372028,      -00.0649587,       02.8603010,      -00.1457894,      -00.1395019,       02.9363410,      -00.0997592,      -00.2330402,       02.9030540,      -00.0869874,      -00.1895339,       02.8564910,       00.2031515,      -00.0344129,       02.9169900,       00.2185732,      -00.4336264,       03.0196580,       00.2289723,      -00.8077559,       03.1434510,       00.2432808,      -00.8875238,       02.9682590,       00.0245789,      -00.0287375,       02.9186480,       00.0096957,      -00.4292948,       03.0141280,       00.0029214,      -00.8087184,       03.1353070,      -00.0240460,      -00.8860871,       02.9777410,       00.1231844,       00.6029167,       02.8612570,       00.0902892,       00.6546088,       02.7074420,       00.1262085,       00.6869317,       02.7389240,       00.2086174,       00.6646189,       02.8377820,       00.0728918,       00.6863112,       02.7466090,       00.0426487,       00.6742440,       02.8776240
    4434.2020000,       00.1097549,      -00.0328917,       02.9167460,       00.1144781,       00.1481642,       02.8866100,       00.1185438,       00.2946637,       02.8784050,       00.1242203,       00.5180223,       02.8798810,       00.1579497,       00.4805330,       02.8810980,       00.2946347,       00.4271761,       02.8703850,       00.3388771,       00.1598523,       02.9567790,       00.3418713,      -00.0736792,       02.9074700,       00.3270877,      -00.1702401,       02.9241540,       00.2744499,      -00.2414693,       02.8569070,       00.2703813,      -00.1832669,       02.8561610,       00.0887046,       00.4816833,       02.8803380,      -00.0410342,       00.4472935,       02.8629170,      -00.1785108,       00.1990484,       02.9216300,      -00.2525497,      -00.0209777,       02.8542820,      -00.2819827,      -00.1077169,       02.9090140,      -00.3320417,      -00.1750800,       02.9790450,      -00.3022427,      -00.1541021,       02.8611870,       00.2035464,      -00.0355739,       02.9153320,       00.2190360,      -00.4339110,       03.0194390,       00.2293107,      -00.8068348,       03.1453890,       00.2416599,      -00.8901945,       02.9719780,       00.0251789,      -00.0304732,       02.9180210,       00.0106834,      -00.4305670,       03.0134170,       00.0045951,      -00.8091384,       03.1357560,      -00.0242178,      -00.8875517,       02.9792710,       00.1264803,       00.6010095,       02.8666300,       00.1018050,       00.6484233,       02.7101320,       00.1368770,       00.6809669,       02.7422120,       00.2140835,       00.6601765,       02.8453080,       00.0833256,       00.6816394,       02.7474190,       00.0468992,       00.6743047,       02.8770400
    4434.2580000,       00.1145595,      -00.0324630,       02.9134560,       00.1185560,       00.1484666,       02.8848590,       00.1217515,       00.2945124,       02.8741210,       00.1263334,       00.5173250,       02.8809030,       00.1602014,       00.4800926,       02.8801550,       00.2950221,       00.4228325,       02.8702740,       00.3372143,       00.1550292,       02.9541940,       00.3363838,      -00.0764473,       02.8980290,       00.3289231,      -00.1719299,       02.9226630,       00.2736822,      -00.2432419,       02.8580300,       00.2723601,      -00.1958133,       02.8559420,       00.0911076,       00.4808573,       02.8815620,      -00.0359776,       00.4375558,       02.8668930,      -00.2002582,       00.2055350,       02.9197700,      -00.3131102,       00.0031277,       02.8528540,      -00.3624217,      -00.0901763,       02.8670050,      -00.4155425,      -00.1748584,       02.9106480,      -00.3557270,      -00.1138955,       02.8465280,       00.2081792,      -00.0344944,       02.9136870,       00.2196691,      -00.4322647,       03.0170300,       00.2281634,      -00.8046838,       03.1420000,       00.2412649,      -00.8893265,       02.9697230,       00.0301385,      -00.0306312,       02.9132470,       00.0111609,      -00.4298612,       03.0077180,       00.0027351,      -00.8076646,       03.1295560,      -00.0289158,      -00.8893790,       02.9757570,       00.1277589,       00.6004468,       02.8696580,       00.1100726,       00.6499853,       02.7132410,       00.1410663,       00.6836381,       02.7480420,       00.2127078,       00.6648896,       02.8551210,       00.0874624,       00.6811231,       02.7498800,       00.0437042,       00.6686494,       02.8765090
    4434.3160000,       00.1150570,      -00.0331363,       02.9146440,       00.1185621,       00.1476059,       02.8855140,       00.1212803,       00.2936112,       02.8753190,       00.1283813,       00.5162791,       02.8798750,       00.1618056,       00.4786836,       02.8794570,       00.2973135,       00.4230800,       02.8709320,       00.3377798,       00.1549495,       02.9540720,       00.3375206,      -00.0766030,       02.8988350,       00.3290389,      -00.1717770,       02.9240840,       00.2739803,      -00.2433047,       02.8596500,       00.2720565,      -00.1942026,       02.8549500,       00.0927687,       00.4802418,       02.8809380,      -00.0358195,       00.4415533,       02.8672620,      -00.2069176,       00.2154259,       02.9230130,      -00.3208459,       00.0174547,       02.8459470,      -00.3899685,      -00.0610790,       02.8653970,      -00.4487088,      -00.1389784,       02.9140220,      -00.3709044,      -00.0854004,       02.8264480,       00.2086236,      -00.0348228,       02.9154380,       00.2197937,      -00.4323595,       03.0187240,       00.2279426,      -00.8048877,       03.1426390,       00.2412853,      -00.8892290,       02.9703630,       00.0306838,      -00.0316155,       02.9139280,       00.0119182,      -00.4304143,       03.0091760,       00.0030208,      -00.8080386,       03.1307520,      -00.0267301,      -00.8872350,       02.9753870,       00.1307286,       00.5992132,       02.8678100,       00.1095393,       00.6498726,       02.7122960,       00.1434078,       00.6818877,       02.7458840,       00.2180326,       00.6594653,       02.8500850,       00.0898862,       00.6819657,       02.7497590,       00.0504472,       00.6713447,       02.8778810
    4434.3750000,       00.1138284,      -00.0330994,       02.9151420,       00.1159394,       00.1474794,       02.8829250,       00.1179769,       00.2938794,       02.8745520,       00.1252202,       00.5169229,       02.8802840,       00.1586809,       00.4792366,       02.8798800,       00.2935717,       00.4213652,       02.8720730,       00.3366145,       00.1512230,       02.9489390,       00.3400335,      -00.0821150,       02.8997800,       00.3340703,      -00.1782029,       02.9229070,       00.2738144,      -00.2496614,       02.8628470,       00.2754278,      -00.2016781,       02.8542750,       00.0895113,       00.4808412,       02.8809490,      -00.0397808,       00.4450701,       02.8639390,      -00.2149077,       00.2214205,       02.9199140,      -00.3209323,       00.0177831,       02.8449840,      -00.3906016,      -00.0613965,       02.8605390,      -00.4492656,      -00.1419986,       02.9051310,      -00.3697391,      -00.0831670,       02.8168690,       00.2075582,      -00.0345024,       02.9134200,       00.2192735,      -00.4327768,       03.0167920,       00.2278165,      -00.8057235,       03.1416930,       00.2369346,      -00.8884701,       02.9679820,       00.0293080,      -00.0318343,       02.9166950,       00.0110492,      -00.4312691,       03.0126080,       00.0017016,      -00.8096775,       03.1340790,      -00.0265813,      -00.8890841,       02.9781800,       00.1277043,       00.6000665,       02.8686310,       00.1105545,       00.6513380,       02.7125000,       00.1433930,       00.6834315,       02.7471980,       00.2153442,       00.6608940,       02.8535300,       00.0896870,       00.6832515,       02.7495970,       00.0466939,       00.6719242,       02.8767690
    4434.4320000,       00.1131889,      -00.0315076,       02.9157230,       00.1150823,       00.1493125,       02.8842760,       00.1166144,       00.2958619,       02.8770710,       00.1266168,       00.5189801,       02.8797230,       00.1596264,       00.4808597,       02.8799250,       00.2949652,       00.4235250,       02.8748660,       00.3376574,       00.1540736,       02.9548690,       00.3428919,      -00.0789662,       02.9038510,       00.3313729,      -00.1748907,       02.9257570,       00.2750007,      -00.2462615,       02.8618330,       00.2685148,      -00.1865186,       02.8533050,       00.0904415,       00.4833361,       02.8808020,      -00.0386633,       00.4460340,       02.8651160,      -00.2113116,       00.2193826,       02.9174230,      -00.3155664,       00.0131290,       02.8468630,      -00.3649368,      -00.0812242,       02.8530120,      -00.4091060,      -00.1741977,       02.8896830,      -00.3523269,      -00.0998427,       02.8250940,       00.2069917,      -00.0324876,       02.9157360,       00.2189321,      -00.4314247,       03.0174180,       00.2279608,      -00.8051655,       03.1405840,       00.2369550,      -00.8878562,       02.9667210,       00.0286027,      -00.0306239,       02.9157110,       00.0112063,      -00.4302191,       03.0120890,       00.0033706,      -00.8083202,       03.1353300,      -00.0266325,      -00.8861348,       02.9788390,       00.1301609,       00.6019621,       02.8669140,       00.1091096,       00.6497829,       02.7100710,       00.1436724,       00.6820478,       02.7429390,       00.2185175,       00.6606207,       02.8475780,       00.0900459,       00.6830314,       02.7470070,       00.0508415,       00.6756883,       02.8757660
    4434.4900000,       00.1090405,      -00.0314961,       02.9143610,       00.1115398,       00.1492582,       02.8841980,       00.1136295,       00.2954715,       02.8750190,       00.1243203,       00.5181324,       02.8819610,       00.1571491,       00.4799547,       02.8818760,       00.2932797,       00.4251084,       02.8768300,       00.3363073,       00.1547589,       02.9519730,       00.3413347,      -00.0778000,       02.9004030,       00.3326031,      -00.1744415,       02.9196140,       00.2742396,      -00.2478630,       02.8602490,       00.2689896,      -00.1901915,       02.8558110,       00.0880702,       00.4826564,       02.8819060,      -00.0409075,       00.4492380,       02.8595660,      -00.1915616,       00.2100320,       02.9207920,      -00.2705184,      -00.0084479,       02.8556220,      -00.3081099,      -00.1081003,       02.8560710,      -00.3542423,      -00.2024456,       02.8856520,      -00.3090559,      -00.1272002,       02.8371690,       00.2026980,      -00.0328610,       02.9139420,       00.2177955,      -00.4309097,       03.0162030,       00.2289281,      -00.8040071,       03.1392760,       00.2403564,      -00.8892650,       02.9671230,       00.0245855,      -00.0302654,       02.9147380,       00.0100258,      -00.4298714,       03.0089050,       00.0046553,      -00.8083480,       03.1291810,      -00.0266884,      -00.8887773,       02.9745860,       00.1282994,       00.6012021,       02.8707700,       00.1078156,       00.6501535,       02.7144600,       00.1428199,       00.6816799,       02.7474280,       00.2173402,       00.6586071,       02.8517060,       00.0892969,       00.6834096,       02.7515520,       00.0501757,       00.6758994,       02.8801160
    4434.5580000,       00.1058092,      -00.0295667,       02.9160320,       00.1108250,       00.1513921,       02.8851220,       00.1149462,       00.2979400,       02.8772320,       00.1247857,       00.5211894,       02.8801410,       00.1578091,       00.4830604,       02.8813110,       00.2942244,       00.4281223,       02.8761390,       00.3365745,       00.1571054,       02.9514750,       00.3408113,      -00.0759051,       02.8996030,       00.3318241,      -00.1721130,       02.9217060,       00.2744453,      -00.2469845,       02.8627660,       00.2687789,      -00.1878710,       02.8524370,       00.0885876,       00.4855111,       02.8801720,      -00.0399093,       00.4534866,       02.8520770,      -00.1848073,       00.2158460,       02.9329560,      -00.2446729,      -00.0075229,       02.8624050,      -00.2326002,      -00.1123889,       02.8781560,      -00.2164057,      -00.2205123,       02.8775180,      -00.1916740,      -00.0988470,       02.8411000,       00.1996324,      -00.0322226,       02.9157090,       00.2167525,      -00.4311072,       03.0178060,       00.2291361,      -00.8050094,       03.1409050,       00.2367857,      -00.8869460,       02.9665010,       00.0212047,      -00.0271717,       02.9163250,       00.0089137,      -00.4276255,       03.0109090,       00.0056285,      -00.8070141,       03.1310910,      -00.0293053,      -00.8902107,       02.9783230,       00.1286709,       00.6042184,       02.8674210,       00.1088111,       00.6506084,       02.7098950,       00.1427011,       00.6835077,       02.7428930,       00.2166710,       00.6636734,       02.8485560,       00.0889960,       00.6839653,       02.7463800,       00.0484580,       00.6772239,       02.8748380
