       TimeStamp,         PELVIS.X,         PELVIS.Y,         PELVIS.Z,    SPINE_NAVAL.X,    SPINE_NAVAL.Y,    SPINE_NAVAL.Z,    SPINE_CHEST.X,    SPINE_CHEST.Y,    SPINE_CHEST.Z,           NECK.X,           NECK.Y,           NECK.Z,  CLAVICLE_LEFT.X,  CLAVICLE_LEFT.Y,  CLAVICLE_LEFT.Z,  SHOULDER_LEFT.X,  SHOULDER_LEFT.Y,  SHOULDER_LEFT.Z,     ELBOW_LEFT.X,     ELBOW_LEFT.Y,     ELBOW_LEFT.Z,     WRIST_LEFT.X,     WRIST_LEFT.Y,     WRIST_LEFT.Z,      HAND_LEFT.X,      HAND_LEFT.Y,      HAND_LEFT.Z,   HANDTIP_LEFT.X,   HANDTIP_LEFT.Y,   HANDTIP_LEFT.Z,     THUMB_LEFT.X,     THUMB_LEFT.Y,     THUMB_LEFT.Z, CLAVICLE_RIGHT.X, CLAVICLE_RIGHT.Y, CLAVICLE_RIGHT.Z, SHOULDER_RIGHT.X, SHOULDER_RIGHT.Y, SHOULDER_RIGHT.Z,    ELBOW_RIGHT.X,    ELBOW_RIGHT.Y,    ELBOW_RIGHT.Z,    WRIST_RIGHT.X,    WRIST_RIGHT.Y,    WRIST_RIGHT.Z,     HAND_RIGHT.X,     HAND_RIGHT.Y,     HAND_RIGHT.Z,  HANDTIP_RIGHT.X,  HANDTIP_RIGHT.Y,  HANDTIP_RIGHT.Z,    THUMB_RIGHT.X,    THUMB_RIGHT.Y,    THUMB_RIGHT.Z,       HIP_LEFT.X,       HIP_LEFT.Y,       HIP_LEFT.Z,      KNEE_LEFT.X,      KNEE_LEFT.Y,      KNEE_LEFT.Z,     ANKLE_LEFT.X,     ANKLE_LEFT.Y,     ANKLE_LEFT.Z,      FOOT_LEFT.X,      FOOT_LEFT.Y,      FOOT_LEFT.Z,      HIP_RIGHT.X,      HIP_RIGHT.Y,      HIP_RIGHT.Z,     KNEE_RIGHT.X,     KNEE_RIGHT.Y,     KNEE_RIGHT.Z,    ANKLE_RIGHT.X,    ANKLE_RIGHT.Y,    ANKLE_RIGHT.Z,     FOOT_RIGHT.X,     FOOT_RIGHT.Y,     FOOT_RIGHT.Z,           HEAD.X,           HEAD.Y,           HEAD.Z,           NOSE.X,           NOSE.Y,           NOSE.Z,       EYE_LEFT.X,       EYE_LEFT.Y,       EYE_LEFT.Z,       EAR_LEFT.X,       EAR_LEFT.Y,       EAR_LEFT.Z,      EYE_RIGHT.X,      EYE_RIGHT.Y,      EYE_RIGHT.Z,      EAR-RIGHT.X,      EAR-RIGHT.Y,      EAR-RIGHT.Z
    3457.9710000,       00.1133906,      -00.0284886,       02.9194810,       00.1177673,       00.1520214,       02.8907100,       00.1214374,       00.2974256,       02.8761980,       00.1234475,       00.5197540,       02.8847720,       00.1575304,       00.4828922,       02.8864940,       00.2917520,       00.4241673,       02.8867450,       00.3340897,       00.1575711,       02.9724390,       00.3439792,      -00.0766853,       02.9333400,       00.3347926,      -00.1746264,       02.9412280,       00.2863491,      -00.2441010,       02.8698840,       00.2859009,      -00.1894049,       02.8689540,       00.0886844,       00.4830615,       02.8823690,      -00.0370585,       00.4401765,       02.8596700,      -00.1179722,       00.1738436,       02.9357800,      -00.1297518,      -00.0535842,       02.8578050,      -00.0929430,      -00.1496270,       02.8844830,      -00.0689824,      -00.2558078,       02.8846400,      -00.0729500,      -00.1599644,       02.8668580,       00.2067926,      -00.0310016,       02.9179230,       00.2200991,      -00.4301284,       03.0120350,       00.2286008,      -00.8042735,       03.1290490,       00.2420539,      -00.8892496,       02.9574080,       00.0291660,      -00.0262226,       02.9208860,       00.0163631,      -00.4265563,       03.0077360,       00.0117615,      -00.8057516,       03.1225870,      -00.0231130,      -00.8848912,       02.9685590,       00.1250164,       00.6027927,       02.8742460,       00.1238739,       00.6522756,       02.7171770,       00.1513519,       00.6856271,       02.7549030,       00.2113533,       00.6664009,       02.8685260,       00.0979339,       00.6835544,       02.7512400,       00.0414350,       00.6715400,       02.8724590
    3458.0280000,       00.1145145,      -00.0293676,       02.9220090,       00.1174317,       00.1511471,       02.8921690,       00.1199147,       00.2967135,       02.8778530,       00.1232341,       00.5192904,       02.8838100,       00.1571392,       00.4822255,       02.8858330,       00.2919948,       00.4246708,       02.8857870,       00.3343494,       00.1581956,       02.9725910,       00.3439873,      -00.0755836,       02.9296070,       00.3350037,      -00.1728120,       02.9444620,       00.2886584,      -00.2406375,       02.8700640,       00.2869623,      -00.1903961,       02.8690580,       00.0882242,       00.4827441,       02.8819730,      -00.0385171,       00.4421766,       02.8599340,      -00.1137195,       00.1730419,       02.9328570,      -00.1266409,      -00.0554854,       02.8577340,      -00.0923638,      -00.1507925,       02.8901460,      -00.0691575,      -00.2570943,       02.8955230,      -00.0728621,      -00.1620670,       02.8752850,       00.2080141,      -00.0310858,       02.9207560,       00.2199724,      -00.4313286,       03.0116900,       00.2265743,      -00.8063902,       03.1269340,       00.2420001,      -00.8872333,       02.9533010,       00.0302018,      -00.0278182,       02.9231400,       00.0167650,      -00.4285261,       03.0097200,       00.0115139,      -00.8080872,       03.1244320,      -00.0236343,      -00.8890542,       02.9712550,       00.1252378,       00.6022559,       02.8722940,       00.1170182,       00.6529983,       02.7156990,       00.1467973,       00.6857182,       02.7522840,       00.2121136,       00.6648089,       02.8627560,       00.0931975,       00.6843792,       02.7512500,       00.0425455,       00.6721704,       02.8751250
    3458.0880000,       00.1154473,      -00.0286800,       02.9200620,       00.1190171,       00.1521391,       02.8917840,       00.1218470,       00.2980935,       02.8815400,       00.1244927,       00.5207978,       02.8857020,       00.1585154,       00.4838393,       02.8880980,       00.2921995,       00.4235719,       02.8849380,       00.3346772,       00.1571830,       02.9722690,       00.3434715,      -00.0767420,       02.9294380,       00.3348778,      -00.1743684,       02.9419590,       00.2867235,      -00.2444005,       02.8707650,       00.2873743,      -00.1907066,       02.8642880,       00.0895834,       00.4841206,       02.8840880,      -00.0353127,       00.4387462,       02.8606430,      -00.1144600,       00.1708301,       02.9342740,      -00.1244381,      -00.0563164,       02.8543950,      -00.0918888,      -00.1532470,       02.8837520,      -00.0617143,      -00.2579586,       02.8828600,      -00.0833844,      -00.1641088,       02.8796190,       00.2089859,      -00.0304666,       02.9204460,       00.2203166,      -00.4306288,       03.0124560,       00.2264173,      -00.8061231,       03.1267820,       00.2420064,      -00.8881166,       02.9536290,       00.0310995,      -00.0270689,       02.9197160,       00.0169713,      -00.4277102,       03.0071690,       00.0112324,      -00.8073400,       03.1221080,      -00.0233962,      -00.8888448,       02.9690270,       00.1262749,       00.6037021,       02.8735150,       00.1171469,       00.6475497,       02.7148410,       00.1460905,       00.6825010,       02.7500380,       00.2117013,       00.6678481,       02.8613920,       00.0925204,       00.6798539,       02.7490170,       00.0419253,       00.6717266,       02.8733000
    3458.1520000,       00.1141771,      -00.0290723,       02.9197410,       00.1193760,       00.1519120,       02.8911910,       00.1236755,       00.2978828,       02.8790680,       00.1265354,       00.5208550,       02.8844950,       00.1605729,       00.4838031,       02.8866360,       00.2946708,       00.4239054,       02.8855760,       00.3378831,       00.1569825,       02.9721430,       00.3404847,      -00.0772149,       02.9282230,       00.3348537,      -00.1745039,       02.9452750,       00.2875821,      -00.2423151,       02.8711690,       00.2877661,      -00.1966959,       02.8704250,       00.0915435,       00.4841704,       02.8827190,      -00.0337420,       00.4401951,       02.8577010,      -00.1151258,       00.1732786,       02.9339920,      -00.1252215,      -00.0539107,       02.8532820,      -00.0964885,      -00.1504761,       02.8878740,      -00.0689124,      -00.2559614,       02.8923390,      -00.0782419,      -00.1606491,       02.8811790,       00.2078112,      -00.0319062,       02.9188270,       00.2209579,      -00.4323769,       03.0117020,       00.2281650,      -00.8071740,       03.1299840,       00.2425106,      -00.8853054,       02.9546670,       00.0297432,      -00.0265169,       02.9205660,       00.0166253,      -00.4277391,       03.0080870,       00.0115367,      -00.8081236,       03.1223910,      -00.0231576,      -00.8874105,       02.9678930,       00.1283793,       00.6039361,       02.8727590,       00.1236334,       00.6525273,       02.7150490,       00.1510703,       00.6867718,       02.7522180,       00.2134513,       00.6694836,       02.8652400,       00.0975233,       00.6835379,       02.7494310,       00.0431250,       00.6710528,       02.8719280
    3458.2150000,       00.1144713,      -00.0283144,       02.9176190,       00.1186507,       00.1524923,       02.8891090,       00.1220100,       00.2983296,       02.8770900,       00.1271475,       00.5209833,       02.8834460,       00.1607962,       00.4836284,       02.8850590,       00.2943877,       00.4230658,       02.8822800,       00.3376667,       00.1563064,       02.9682620,       00.3408286,      -00.0786594,       02.9303590,       00.3349601,      -00.1768685,       02.9396320,       00.2870897,      -00.2443165,       02.8657680,       00.2882869,      -00.1949321,       02.8655750,       00.0918143,       00.4846976,       02.8818900,      -00.0351827,       00.4447431,       02.8597480,      -00.1142894,       00.1764279,       02.9321870,      -00.1247253,      -00.0520442,       02.8560910,      -00.0955817,      -00.1500171,       02.8856430,      -00.0669629,      -00.2551877,       02.8848250,      -00.0824701,      -00.1604438,       02.8803350,       00.2080218,      -00.0304610,       02.9177200,       00.2200262,      -00.4305282,       03.0104240,       00.2263728,      -00.8054848,       03.1267540,       00.2423370,      -00.8895540,       02.9545910,       00.0301127,      -00.0263788,       02.9175280,       00.0169197,      -00.4267190,       03.0068720,       00.0111097,      -00.8057058,       03.1241810,      -00.0209329,      -00.8866609,       02.9702060,       00.1296917,       00.6039992,       02.8720650,       00.1287651,       00.6565855,       02.7157700,       00.1550534,       00.6899243,       02.7544600,       00.2145300,       00.6699787,       02.8684360,       00.1016713,       00.6865572,       02.7502190,       00.0442761,       00.6707036,       02.8707760
    3458.2800000,       00.1145199,      -00.0291933,       02.9211170,       00.1188065,       00.1518551,       02.8924440,       00.1224045,       00.2978152,       02.8794280,       00.1263587,       00.5208340,       02.8851890,       00.1602599,       00.4836108,       02.8868520,       00.2944272,       00.4237730,       02.8849760,       00.3384381,       00.1565985,       02.9706600,       00.3401355,      -00.0785079,       02.9313820,       00.3346132,      -00.1770651,       02.9384480,       00.2861702,      -00.2435717,       02.8638650,       00.2880459,      -00.1950671,       02.8659720,       00.0911679,       00.4843014,       02.8837830,      -00.0356452,       00.4439815,       02.8601050,      -00.1149596,       00.1751008,       02.9318980,      -00.1260077,      -00.0525331,       02.8523420,      -00.0951155,      -00.1491903,       02.8848600,      -00.0699131,      -00.2553418,       02.8883080,      -00.0792331,      -00.1601398,       02.8761900,       00.2081906,      -00.0316198,       02.9198000,       00.2204828,      -00.4321118,       03.0132810,       00.2272021,      -00.8073177,       03.1307130,       00.2424786,      -00.8901400,       02.9575740,       00.0300528,      -00.0270052,       02.9223050,       00.0167670,      -00.4286949,       03.0082620,       00.0114562,      -00.8094060,       03.1219100,      -00.0234742,      -00.8882291,       02.9671630,       00.1284414,       00.6039523,       02.8735650,       00.1176992,       00.6529900,       02.7162330,       00.1465226,       00.6871558,       02.7524410,       00.2131711,       00.6695804,       02.8630040,       00.0928923,       00.6839040,       02.7516770,       00.0431657,       00.6710533,       02.8761540
    3458.3420000,       00.1119865,      -00.0297911,       02.9189300,       00.1163589,       00.1507662,       02.8902980,       00.1202313,       00.2965573,       02.8801940,       00.1268094,       00.5189329,       02.8853400,       00.1601947,       00.4814208,       02.8868680,       00.2932607,       00.4203083,       02.8815250,       00.3381141,       00.1552833,       02.9708590,       00.3387521,      -00.0801029,       02.9375340,       00.3340696,      -00.1782073,       02.9472960,       00.2892112,      -00.2413576,       02.8681340,       00.2885959,      -00.1932793,       02.8669260,       00.0912810,       00.4829074,       02.8842650,      -00.0349310,       00.4430385,       02.8587400,      -00.1150803,       00.1757383,       02.9323740,      -00.1277121,      -00.0541639,       02.8620670,      -00.0967793,      -00.1527763,       02.8868170,      -00.0745800,      -00.2592845,       02.8829650,      -00.0871897,      -00.1641215,       02.8793410,       00.2053780,      -00.0324418,       02.9164760,       00.2191080,      -00.4312714,       03.0120140,       00.2273059,      -00.8051718,       03.1300030,       00.2418326,      -00.8850182,       02.9559740,       00.0277714,      -00.0274008,       02.9211430,       00.0159299,      -00.4278627,       03.0077970,       00.0121371,      -00.8071742,       03.1224750,      -00.0208103,      -00.8881647,       02.9689590,       00.1297763,       00.6017702,       02.8735190,       00.1229096,       00.6496487,       02.7160760,       00.1516780,       00.6834216,       02.7524520,       00.2157641,       00.6654276,       02.8640490,       00.0981590,       00.6812476,       02.7507340,       00.0460666,       00.6704053,       02.8740390
    3458.3990000,       00.1127946,      -00.0301307,       02.9208030,       00.1167905,       00.1505106,       02.8917590,       00.1203970,       00.2963807,       02.8810980,       00.1268544,       00.5189363,       02.8859520,       00.1603071,       00.4814228,       02.8872120,       00.2940544,       00.4215969,       02.8812820,       00.3360932,       00.1552211,       02.9686310,       00.3354267,      -00.0798835,       02.9321710,       00.3344582,      -00.1776769,       02.9460300,       00.2891991,      -00.2431315,       02.8688750,       00.2907722,      -00.1997150,       02.8671490,       00.0913185,       00.4828548,       02.8852430,      -00.0350904,       00.4432569,       02.8597280,      -00.1195663,       00.1761629,       02.9300630,      -00.1409826,      -00.0557997,       02.8685750,      -00.0975228,      -00.1513683,       02.8855730,      -00.0690117,      -00.2564235,       02.8810700,      -00.0792731,      -00.1600650,       02.8635280,       00.2062522,      -00.0326443,       02.9180280,       00.2194667,      -00.4323688,       03.0112150,       00.2275559,      -00.8069649,       03.1279940,       00.2419655,      -00.8876907,       02.9541990,       00.0285198,      -00.0278642,       02.9233060,       00.0160132,      -00.4291147,       03.0076680,       00.0117954,      -00.8096859,       03.1191610,      -00.0228312,      -00.8860429,       02.9634990,       00.1296497,       00.6018264,       02.8740090,       00.1219510,       00.6509534,       02.7168560,       00.1497891,       00.6851431,       02.7536340,       00.2140876,       00.6677678,       02.8653220,       00.0963057,       00.6816306,       02.7517540,       00.0441652,       00.6683685,       02.8749140
    3458.4550000,       00.1176716,      -00.0327550,       02.9204220,       00.1200669,       00.1486626,       02.8894560,       00.1220444,       00.2954086,       02.8788170,       00.1276607,       00.5192709,       02.8835250,       00.1614410,       00.4816713,       02.8850190,       00.2969337,       00.4236010,       02.8805370,       00.3363817,       00.1566353,       02.9724750,       00.3398232,      -00.0802528,       02.9388790,       00.3358092,      -00.1794257,       02.9430810,       00.2926141,      -00.2486211,       02.8670990,       00.2932211,      -00.2013679,       02.8776790,       00.0920633,       00.4828457,       02.8826430,      -00.0358176,       00.4438307,       02.8595700,      -00.1408534,       00.1841304,       02.9364280,      -00.1732544,      -00.0510257,       02.8877760,      -00.1177762,      -00.1424753,       02.8870080,      -00.0740406,      -00.2427480,       02.8807510,      -00.0839426,      -00.1454566,       02.8658090,       00.2117326,      -00.0340414,       02.9201610,       00.2239272,      -00.4362878,       03.0130660,       00.2313651,      -00.8126521,       03.1317890,       00.2423888,      -00.8888905,       02.9545300,       00.0328526,      -00.0315949,       02.9206570,       00.0205260,      -00.4339982,       03.0108510,       00.0160618,      -00.8152863,       03.1278780,      -00.0234216,      -00.8876299,       02.9703090,       00.1302237,       00.6026365,       02.8714500,       00.1138011,       00.6461949,       02.7123410,       00.1477197,       00.6792965,       02.7453310,       00.2196847,       00.6604215,       02.8528950,       00.0938572,       00.6806779,       02.7478690,       00.0509098,       00.6772037,       02.8759880
    3458.5210000,       00.1215446,      -00.0329110,       02.9221470,       00.1226447,       00.1480462,       02.8908370,       00.1238737,       00.2943631,       02.8787740,       00.1310806,       00.5176499,       02.8848630,       00.1645611,       00.4799055,       02.8852800,       00.2978842,       00.4177976,       02.8806120,       00.3376416,       00.1511199,       02.9712880,       00.3381509,      -00.0844581,       02.9324830,       00.3353710,      -00.1827638,       02.9448780,       00.2920078,      -00.2558952,       02.8731600,       00.2908146,      -00.2044436,       02.8696580,       00.0953093,       00.4815444,       02.8845960,      -00.0335998,       00.4455404,       02.8642800,      -00.1692363,       00.1973862,       02.9277840,      -00.2461180,      -00.0273138,       02.8824570,      -00.2792826,      -00.1284869,       02.8898670,      -00.3171875,      -00.2304138,       02.9011610,      -00.2659229,      -00.1482374,       02.8604700,       00.2153704,      -00.0338972,       02.9197430,       00.2243790,      -00.4352954,       03.0126180,       00.2291984,      -00.8112320,       03.1299190,       00.2419804,      -00.8898425,       02.9542880,       00.0369378,      -00.0320216,       02.9243140,       00.0215894,      -00.4338273,       03.0125100,       00.0148907,      -00.8146284,       03.1279970,      -00.0237418,      -00.8884906,       02.9713690,       00.1339009,       00.6008947,       02.8733270,       00.1203558,       00.6459722,       02.7147530,       00.1506880,       00.6805984,       02.7494050,       00.2196843,       00.6647035,       02.8590240,       00.0969180,       00.6783392,       02.7499590,       00.0498169,       00.6697532,       02.8760470
    3458.5790000,       00.1244824,      -00.0322541,       02.9209740,       00.1252243,       00.1489942,       02.8893650,       00.1260658,       00.2954865,       02.8761720,       00.1314323,       00.5192205,       02.8827610,       00.1653154,       00.4817211,       02.8818580,       00.2982985,       00.4186067,       02.8737490,       00.3433962,       00.1547835,       02.9716270,       00.3431514,      -00.0812946,       02.9331670,       00.3389430,      -00.1803661,       02.9385070,       00.2905576,      -00.2535583,       02.8698090,       00.2856334,      -00.1918657,       02.8626980,       00.0959442,       00.4827164,       02.8836470,      -00.0331260,       00.4433002,       02.8701930,      -00.1918242,       00.2101569,       02.9393140,      -00.3113671,       00.0064570,       02.8855960,      -00.3711272,      -00.0817555,       02.8766590,      -00.3940397,      -00.1055015,       02.9811020,      -00.3500190,      -00.1075010,       02.8588980,       00.2184955,      -00.0329598,       02.9191350,       00.2259403,      -00.4352921,       03.0114570,       00.2293307,      -00.8121014,       03.1284330,       00.2422039,      -00.8891898,       02.9517480,       00.0397067,      -00.0316177,       02.9226330,       00.0232207,      -00.4341150,       03.0109940,       00.0151547,      -00.8155426,       03.1268410,      -00.0232261,      -00.8879609,       02.9691110,       00.1330740,       00.6026751,       02.8713900,       00.1223631,       00.6462932,       02.7118780,       00.1518102,       00.6815125,       02.7468690,       00.2188369,       00.6670796,       02.8581850,       00.0979583,       00.6788700,       02.7463740,       00.0483207,       00.6710789,       02.8718030
    3458.6390000,       00.1262780,      -00.0338078,       02.9210410,       00.1262323,       00.1472649,       02.8895820,       00.1264012,       00.2937018,       02.8775880,       00.1325779,       00.5171838,       02.8837300,       00.1662866,       00.4795981,       02.8829770,       00.2997384,       00.4176425,       02.8767730,       00.3426458,       00.1530457,       02.9726230,       00.3457302,      -00.0830863,       02.9362950,       00.3412331,      -00.1820638,       02.9411080,       00.2923423,      -00.2543734,       02.8720330,       00.2929762,      -00.1970539,       02.8651490,       00.0969914,       00.4808530,       02.8846110,      -00.0333099,       00.4469320,       02.8696230,      -00.2297899,       00.2455391,       02.9401330,      -00.3720627,       00.0584868,       02.8825830,      -00.4440926,      -00.0197548,       02.8924640,      -00.4641067,      -00.0703499,       02.9873890,      -00.4268034,      -00.0518491,       02.8632590,       00.2201980,      -00.0340340,       02.9196030,       00.2265128,      -00.4360596,       03.0113340,       00.2290104,      -00.8123869,       03.1284350,       00.2418665,      -00.8897720,       02.9521100,       00.0415861,      -00.0336038,       02.9223380,       00.0238843,      -00.4352222,       03.0123520,       00.0143152,      -00.8154457,       03.1305270,      -00.0232163,      -00.8848548,       02.9714640,       00.1345520,       00.6005177,       02.8722060,       00.1171236,       00.6445499,       02.7135900,       00.1503464,       00.6780997,       02.7466860,       00.2226750,       00.6601189,       02.8539240,       00.0965490,       00.6783740,       02.7492730,       00.0538662,       00.6733270,       02.8772180
    3458.6950000,       00.1261871,      -00.0312659,       02.9187650,       00.1257190,       00.1490054,       02.8868210,       00.1253021,       00.2949087,       02.8752280,       00.1367852,       00.5173659,       02.8794760,       00.1694586,       00.4791368,       02.8784790,       00.3011704,       00.4147440,       02.8733950,       00.3423197,       00.1517394,       02.9711430,       00.3448879,      -00.0832688,       02.9335260,       00.3408475,      -00.1817110,       02.9411020,       00.2936721,      -00.2537954,       02.8712880,       00.2964285,      -00.2014213,       02.8669210,       00.1005136,       00.4820299,       02.8812170,      -00.0308334,       00.4564592,       02.8636860,      -00.2296394,       00.2669559,       02.9534400,      -00.3843177,       00.0958562,       02.8834870,      -00.4641059,       00.0274174,       02.8999290,      -00.5181643,      -00.0386496,       02.9676960,      -00.4606737,       00.0002642,       02.8741890,       00.2197573,      -00.0309788,       02.9190140,       00.2261757,      -00.4313310,       03.0109590,       00.2283189,      -00.8064689,       03.1267980,       00.2417106,      -00.8870792,       02.9527810,       00.0418107,      -00.0315249,       02.9185400,       00.0230767,      -00.4317575,       03.0072910,       00.0126893,      -00.8108285,       03.1239490,      -00.0231762,      -00.8876837,       02.9687310,       00.1405139,       00.6002213,       02.8673060,       00.1142640,       00.6439909,       02.7105040,       00.1501709,       00.6767023,       02.7411610,       00.2283759,       00.6573840,       02.8433130,       00.0968719,       00.6782864,       02.7471130,       00.0623820,       00.6746994,       02.8770180
    3458.7600000,       00.1265015,      -00.0322994,       02.9178520,       00.1254246,       00.1475928,       02.8862340,       00.1243780,       00.2932055,       02.8753580,       00.1351600,       00.5152038,       02.8778230,       00.1678737,       00.4771523,       02.8774950,       00.3004438,       00.4152465,       02.8739190,       00.3459682,       00.1528446,       02.9694020,       00.3469677,      -00.0807460,       02.9267320,       00.3401699,      -00.1785855,       02.9367460,       00.2924165,      -00.2512967,       02.8684020,       00.2920050,      -00.1951294,       02.8616200,       00.0990570,       00.4798608,       02.8794810,      -00.0327595,       00.4584317,       02.8623510,      -00.2427974,       00.2798036,       02.9464800,      -00.3792474,       00.0883117,       02.8961300,      -00.4772468,       00.0475254,       02.8957240,      -00.5249588,      -00.0142165,       02.9714570,      -00.4800965,       00.0265626,       02.8645980,       00.2198445,      -00.0315455,       02.9189620,       00.2258968,      -00.4306470,       03.0120810,       00.2281039,      -00.8048418,       03.1278660,       00.2414685,      -00.8896864,       02.9563730,       00.0423301,      -00.0329791,       02.9168520,       00.0240153,      -00.4326887,       03.0035990,       00.0132212,      -00.8113286,       03.1184600,      -00.0210432,      -00.8888970,       02.9637050,       00.1387727,       00.5977700,       02.8650160,       00.1179682,       00.6402350,       02.7074440,       00.1522916,       00.6734254,       02.7391320,       00.2266666,       00.6555768,       02.8439900,       00.0989196,       00.6744810,       02.7430830,       00.0597558,       00.6713057,       02.8713390
    3458.8220000,       00.1251587,      -00.0317701,       02.9182190,       00.1231162,       00.1480737,       02.8862970,       00.1216636,       00.2936903,       02.8753780,       00.1328017,       00.5156586,       02.8797190,       00.1654569,       00.4775591,       02.8789130,       00.2987137,       00.4170940,       02.8758040,       00.3446538,       00.1535525,       02.9679520,       00.3497208,      -00.0798760,       02.9245940,       00.3400832,      -00.1764468,       02.9419620,       00.2938153,      -00.2449621,       02.8684430,       00.2933223,      -00.1952030,       02.8644340,       00.0966490,       00.4803545,       02.8812340,      -00.0348370,       00.4563548,       02.8649130,      -00.2438139,       00.2773396,       02.9509130,      -00.3661876,       00.0828633,       02.8799560,      -00.4486510,       00.0167251,       02.8896890,      -00.5108106,      -00.0412473,       02.9575220,      -00.4413679,      -00.0130589,       02.8671970,       00.2185059,      -00.0309332,       02.9169600,       00.2256361,      -00.4301172,       03.0097800,       00.2299668,      -00.8042433,       03.1258240,       00.2410858,      -00.8876660,       02.9534600,       00.0409835,      -00.0325247,       02.9193530,       00.0240766,      -00.4326594,       03.0045540,       00.0154623,      -00.8122699,       03.1164570,      -00.0227159,      -00.8910989,       02.9632480,       00.1364850,       00.5983333,       02.8676110,       00.1167867,       00.6462274,       02.7114480,       00.1515423,       00.6778252,       02.7442800,       00.2253416,       00.6554008,       02.8486770,       00.0981789,       00.6795954,       02.7481420,       00.0586113,       00.6728695,       02.8761470
    3458.8830000,       00.1235254,      -00.0333646,       02.9170410,       00.1229587,       00.1466613,       02.8851890,       00.1224390,       00.2922911,       02.8727870,       00.1331129,       00.5144585,       02.8778140,       00.1658735,       00.4763857,       02.8774790,       00.2986739,       00.4146441,       02.8740390,       00.3434128,       00.1500124,       02.9643820,       00.3484094,      -00.0845726,       02.9264850,       00.3344790,      -00.1819737,       02.9339750,       00.2859025,      -00.2496090,       02.8609900,       00.2916584,      -00.1994926,       02.8629570,       00.0969721,       00.4790574,       02.8786360,      -00.0324517,       00.4494982,       02.8554470,      -00.2393834,       00.2733919,       02.9525150,      -00.3634881,       00.0745870,       02.8976960,      -00.4157694,      -00.0171860,       02.8861660,      -00.4712443,      -00.1108224,       02.8852280,      -00.3799383,      -00.0384669,       02.8448840,       00.2169631,      -00.0329947,       02.9174690,       00.2248864,      -00.4324595,       03.0105690,       00.2285037,      -00.8065953,       03.1277340,       00.2421132,      -00.8917874,       02.9562330,       00.0392685,      -00.0336981,       02.9166550,       00.0221559,      -00.4331283,       03.0066720,       00.0120378,      -00.8117242,       03.1230000,      -00.0228611,      -00.8889656,       02.9680360,       00.1368567,       00.5972376,       02.8659450,       00.1147159,       00.6437275,       02.7095360,       00.1500518,       00.6756172,       02.7415410,       00.2255385,       00.6540655,       02.8450500,       00.0967126,       00.6774900,       02.7462370,       00.0591410,       00.6720091,       02.8750210
    3458.9400000,       00.1238476,      -00.0324886,       02.9164850,       00.1227950,       00.1483233,       02.8854580,       00.1221350,       00.2944247,       02.8726240,       00.1320278,       00.5174081,       02.8773690,       00.1650389,       00.4793199,       02.8772620,       00.2988698,       00.4185516,       02.8748880,       00.3433162,       00.1515863,       02.9615210,       00.3450179,      -00.0836675,       02.9223150,       00.3333457,      -00.1815879,       02.9312730,       00.2849202,      -00.2484475,       02.8569010,       00.2849666,      -00.1962053,       02.8592540,       00.0958842,       00.4817564,       02.8780650,      -00.0335613,       00.4469077,       02.8602390,      -00.1967240,       00.2196078,       02.9347260,      -00.2939957,       00.0028210,       02.8914210,      -00.3401738,      -00.0928962,       02.8828840,      -00.3834493,      -00.1927835,       02.8917330,      -00.3348067,      -00.1065634,       02.8577950,       00.2175997,      -00.0321932,       02.9150260,       00.2246832,      -00.4325581,       03.0105840,       00.2288511,      -00.8077816,       03.1288120,       00.2413499,      -00.8879070,       02.9540670,       00.0393072,      -00.0327550,       02.9178010,       00.0229782,      -00.4335058,       03.0085810,       00.0149231,      -00.8131602,       03.1263060,      -00.0232938,      -00.8878189,       02.9701640,       00.1355503,       00.6004686,       02.8653460,       00.1090358,       00.6455401,       02.7085990,       00.1446638,       00.6783708,       02.7396730,       00.2230769,       00.6588030,       02.8419610,       00.0912345,       00.6793960,       02.7455780,       00.0565397,       00.6742607,       02.8756640
    3458.9980000,       00.1225547,      -00.0333517,       02.9168990,       00.1215109,       00.1479559,       02.8862440,       00.1208677,       00.2944850,       02.8744280,       00.1300111,       00.5179754,       02.8809260,       00.1632262,       00.4799099,       02.8807130,       00.2972871,       00.4188131,       02.8785910,       00.3411989,       00.1506042,       02.9638110,       00.3435470,      -00.0852603,       02.9249360,       00.3333734,      -00.1832558,       02.9369310,       00.2844329,      -00.2529421,       02.8651500,       00.2850400,      -00.1977854,       02.8584740,       00.0938997,       00.4821174,       02.8811530,      -00.0347963,       00.4436377,       02.8629840,      -00.1836047,       00.2090492,       02.9469470,      -00.2656112,      -00.0150277,       02.9060900,      -00.2557879,      -00.1203489,       02.8908940,      -00.2758367,      -00.2262131,       02.8715340,      -00.2196023,      -00.1375274,       02.8763870,       00.2165247,      -00.0330563,       02.9154470,       00.2242198,      -00.4346790,       03.0097950,       00.2289480,      -00.8107275,       03.1284250,       00.2420670,      -00.8905826,       02.9531100,       00.0378178,      -00.0336180,       02.9182090,       00.0221248,      -00.4352649,       03.0094720,       00.0150468,      -00.8156657,       03.1279700,      -00.0235917,      -00.8884855,       02.9706000,       00.1333303,       00.6013288,       02.8695240,       00.1154797,       00.6445746,       02.7106460,       00.1477239,       00.6790409,       02.7438210,       00.2200548,       00.6631152,       02.8514680,       00.0938970,       00.6779699,       02.7461790,       00.0507777,       00.6721390,       02.8740210
